record_group,sample_type,concentration_molar,concentration_label,instrument,raman_shift_cm-1,intensity_mean,intensity_sd,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,878.99652154951661,342.57840494047019,516.22725802440527,3,150.68879140648403
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,882.69990154765389,361.0155899836837,380.14350446044546,3,105.29836245510236
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,886.40328154579117,272.28031029336654,331.6303146201812,3,121.79739117487723
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,890.10666154392834,151.89491096731189,221.86940122760763,3,146.06769892070605
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,893.81004154206562,97.765124590497678,154.1171765804111,3,157.64023952912814
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,897.51342154020278,126.19952312355106,217.34385293309302,3,172.22240429570434
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,901.21680153834006,245.23116159629362,274.25064622799476,3,111.83352247846619
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,904.92018153647723,483.10044730558297,561.51027632435671,3,116.23054365941746
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,908.62356153461451,615.73875209046435,646.94352356456375,3,105.06785895286883
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,912.32694153275179,720.10950124083922,722.20440945846747,3,100.29091523081121
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,916.03032153088895,863.70467949896511,813.47654635185961,3,94.184570914187603
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,919.73370152902623,959.2595983185106,919.27119676453447,3,95.831326407984662
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,923.4370815271634,957.13077411377219,1014.7480080884843,3,106.01978700643716
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,927.14046152530068,880.38101596518447,800.99695261961267,3,90.982987830724525
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,930.84384152343796,892.21119987876602,921.34066867331819,3,103.26486248979056
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,934.54722152157512,896.97679658221205,953.90124435905921,3,106.34625644651554
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,938.2506015197124,1032.3385835678205,984.06961986949455,3,95.324308858872087
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,941.95398151784957,1046.8534319326657,1101.9197085119333,3,105.26017061219412
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,945.65736151598685,1053.4668066856327,948.79931339689483,3,90.064471645002484
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,949.36074151412402,1014.917420039032,768.94617101261713,3,75.764407608950563
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,953.06412151226129,890.93730407315877,772.10714658445681,3,86.662343472942709
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,956.76750151039857,954.79204022472038,770.55239849595307,3,80.703688974469813
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,960.47088150853574,1011.2889559458744,815.94440326148731,3,80.683606645177065
