Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
1205.9311440310837,1mM,0.001,2732.7541170616223,2732.7541170616223,0.0
1209.8568307232322,1mM,0.001,2359.9840575615463,2359.9840575615463,0.0
1213.7825174153804,1mM,0.001,2234.230312984147,2234.230312984147,0.0
1217.7082041075287,1mM,0.001,2069.4279449202204,2069.4279449202204,0.0
1221.633890799677,1mM,0.001,1921.696605514607,1921.696605514607,0.0
1225.5595774918252,1mM,0.001,1731.4651362777752,1731.4651362777752,0.0
1229.4852641839736,1mM,0.001,1406.152985641377,1406.152985641377,0.0
1233.410950876122,1mM,0.001,1188.416250418676,1188.416250418676,0.0
1237.3366375682701,1mM,0.001,1083.3178982356599,1083.3178982356599,0.0
1241.2623242604184,1mM,0.001,999.6632737445241,999.6632737445241,0.0
1245.1880109525666,1mM,0.001,880.6413318424383,880.6413318424383,0.0
1249.1136976447149,1mM,0.001,838.9936662824554,838.9936662824554,0.0
1253.0393843368633,1mM,0.001,820.504412736503,820.504412736503,0.0
1256.9650710290116,1mM,0.001,607.2996817124163,607.2996817124163,0.0
1260.8907577211598,1mM,0.001,397.8563451049039,397.8563451049039,0.0
1264.816444413308,1mM,0.001,202.48878396575338,202.48878396575338,0.0
1268.7421311054563,1mM,0.001,28.937515200879307,28.937515200879307,0.0
1272.6678177976048,1mM,0.001,-3.431987803319268,-3.431987803319268,0.0
1276.593504489753,1mM,0.001,8.489909872177199,8.489909872177199,0.0
1280.5191911819013,1mM,0.001,107.32249286854248,107.32249286854248,0.0
1284.4448778740496,1mM,0.001,389.81168450760106,389.81168450760106,0.0
1288.3705645661978,1mM,0.001,922.5324773608564,922.5324773608564,0.0
1292.296251258346,1mM,0.001,1585.5514304104508,1585.5514304104508,0.0
1296.2219379504945,1mM,0.001,2260.8126862999143,2260.8126862999143,0.0
1300.1476246426428,1mM,0.001,2778.382000869663,2778.382000869663,0.0
1304.073311334791,1mM,0.001,2857.3181966992984,2857.3181966992984,0.0
1307.9989980269393,1mM,0.001,2568.575778692962,2568.575778692962,0.0
