Raman shift (cm-1),Intensity (a.u.),,,,
,Intensity 1,Intensity 2,Intensity 3,Intensity 4,Intensity 5
1776.67748,10136.6,10157.6,10148,10205.4,10249
1779.69739,10089,10111,10148.6,10151.2,10181.2
1782.71362,10622.6,10650.2,10736,10716.2,10759
1785.7262,10498,10570,10614.6,10648.6,10706.8
1788.73514,10528.2,10551.2,10569.6,10506.8,10561
1791.74045,10063.4,10122.4,10197.2,10046.2,10212.8
1794.74213,10059.4,10026.8,10114.4,10092.6,10123.6
1797.74021,10478,10577.4,10535.2,10616.2,10589
1800.73469,10452.4,10538.2,10544.8,10626,10646.8
1803.72559,10292,10352,10341.2,10440.2,10399.6
1806.71291,10365.8,10365.6,10449.4,10422.2,10493.6
1809.69668,10152.6,10068.6,10080.4,10074.4,10083.4
1812.6769,10191.2,10167,10234.8,10180.6,10146.6
1815.65359,9932.4,9898.2,9997.2,9997.2,10051.8
1818.62676,9958.4,10028.2,10022.6,10045.6,10127.6
1821.59641,10191.6,10141.8,10189.2,10323.8,10338
1824.56257,9898.4,9827.4,9925.8,9898.8,9944.6
1827.52525,10257.2,10171.4,10180.4,10244,10333.8
1830.48445,10016.8,9980,10019,10072.2,10084.6
1833.44019,10095.2,10234.4,10227.2,10183.6,10201.6
1836.39249,10089.6,10104.6,10165.4,10189.8,10132.4
1839.34135,10122.2,10335.6,10292.6,10342.2,10345.2
1842.28678,10225,10389.2,10323.8,10398,10346
1845.22881,9817,9826.6,9830.4,9869.2,9903.2
1848.16744,10387.2,10405.8,10442.2,10482.6,10501.6
1851.10268,10115,10142.2,10181.2,10214.8,10212.2
1854.03455,10193.4,10265.6,10192.2,10269.6,10268.4
1856.96306,10008.2,10074.8,10081.8,10084.4,10023.2
1859.88823,10889.6,10865.8,10801,10971.6,10893.8
1862.81005,10414.4,10441.6,10389.8,10366,10484
1865.72856,10209.2,10183.6,10256.6,10239.2,10287.4
1868.64375,9957.8,10007.8,9994.8,10005,10087.2
1871.55565,9960.8,10106.2,10095,10038.6,10055.2
1874.46426,9800.2,9743.8,9868.6,9845.4,9902.6
1877.3696,10389.2,10402.4,10398.4,10441.4,10460.2
1880.27168,10246,10193.8,10188,10228.6,10299.4
1883.17051,10052.2,10101.2,10080,10100.2,10104
