Name,AAB_AS_750_5_5_H_S1.csv,,,,,,,,,
Date,02/08/2024 14:29,,,,,,,,,
Tag,AAB_AS_750_5_5_H_S1,,,,,,,,,
Comment,,,,,,,,,,
Peak raman shift[cm-1],392.3410158,,,,,,,,,
Integration[ms],750,,,,,,,,,
Averaging,5,,,,,,,,,
Measure data Count,5,,,,,,,,,
Source wave length,784.7207916,,,,,,,,,
Calibrate value 0,778.657113,,,,,,,,,
Calibrate value 1,0.351105861,,,,,,,,,
Calibrate value 2,-0.000114612,,,,,,,,,
Calibrate value 3,-1.40E-08,,,,,,,,,
Calibrate value 4,-6.35E-12,,,,,,,,,
Calibrate value 5,6.47E-14,,,,,,,,,
Sensor pixel num,512,,,,,,,,,
Count monitor raman shift,0,,,,,,,,,
Count monitor value,0,,,,,,,,,
Dark name,,,,,,,,,,
Ramanshift[cm-1],1,2,3,4,5,6,7,8,9,10
662.4456649,18128.2,18614.4,18478.2,18689.4,18811.8,18128.2,18614.4,18478.2,18689.4,18811.8
667.0625366,18473,18981.2,18877,19037.4,19165.8,18473,18981.2,18877,19037.4,19165.8
671.6723966,18500.6,18929,18729.6,18933.8,19159.8,18500.6,18929,18729.6,18933.8,19159.8
676.2752565,18746.4,19105.2,18948.2,19059.2,19294.2,18746.4,19105.2,18948.2,19059.2,19294.2
680.8711281,18644.8,19016.2,18974.4,19072.6,19264.2,18644.8,19016.2,18974.4,19072.6,19264.2
685.4600229,18434.2,18943.4,18845,18934,19132,18434.2,18943.4,18845,18934,19132
690.0419528,18536,18998.6,18920.4,19027.6,19167.4,18536,18998.6,18920.4,19027.6,19167.4
694.6169293,18354,18816.6,18759,18873.6,19063.2,18354,18816.6,18759,18873.6,19063.2
699.1849641,18868,19301.4,19233.4,19250.6,19501.6,18868,19301.4,19233.4,19250.6,19501.6
703.7460688,18618.6,18987,18940.8,18972.4,19217.4,18618.6,18987,18940.8,18972.4,19217.4
708.300255,18695,19157.6,19028,19241.4,19267.2,18695,19157.6,19028,19241.4,19267.2
712.8475343,18875.8,19204.6,19253.4,19299,19523.4,18875.8,19204.6,19253.4,19299,19523.4
717.3879184,18646.4,18964.4,19069.4,19149,19176.4,18646.4,18964.4,19069.4,19149,19176.4
721.9214187,18593.8,18935.6,18917.8,18987,19203.8,18593.8,18935.6,18917.8,18987,19203.8
726.4480469,18030.6,18315.6,18312.4,18405,18577,18030.6,18315.6,18312.4,18405,18577
730.9678145,18508,18981.8,18890.6,18984.8,19171.2,18508,18981.8,18890.6,18984.8,19171.2
735.4807329,18406.8,18850.4,18718.2,18737,18983.8,18406.8,18850.4,18718.2,18737,18983.8
739.9868138,18968.6,19168.4,19242.8,19330.8,19382.8,18968.6,19168.4,19242.8,19330.8,19382.8
744.4860687,18397,18687.2,18646.6,18812,18917.2,18397,18687.2,18646.6,18812,18917.2
748.9785089,18347.4,18661.6,18576.8,18752.2,18915.8,18347.4,18661.6,18576.8,18752.2,18915.8
753.4641461,17913.2,18135,18193.2,18259.4,18448.8,17913.2,18135,18193.2,18259.4,18448.8
757.9429916,17724.6,17952.2,18025.8,18116.2,18264.8,17724.6,17952.2,18025.8,18116.2,18264.8
762.415057,18097,18489,18412.4,18641.2,18584.2,18097,18489,18412.4,18641.2,18584.2
766.8803536,17746,17991.8,18048,18058.4,18291.2,17746,17991.8,18048,18058.4,18291.2
771.3388929,19020.2,19327.2,19363.6,19460,19495.2,19020.2,19327.2,19363.6,19460,19495.2
775.7906864,18038.4,18328.6,18273.8,18327.8,18534.6,18038.4,18328.6,18273.8,18327.8,18534.6
780.2357454,18263.4,18642.4,18632,18739.4,18812.4,18263.4,18642.4,18632,18739.4,18812.4
784.6740813,17530.2,17924.8,17989.8,17975.4,18136.8,17530.2,17924.8,17989.8,17975.4,18136.8
789.1057055,17534.6,17841.4,17785.8,17908.8,18046.2,17534.6,17841.4,17785.8,17908.8,18046.2
793.5306294,17607.2,17870.6,17703.6,17951.2,18045.6,17607.2,17870.6,17703.6,17951.2,18045.6
797.9488643,18181.2,18506,18304.4,18395.4,18504.8,18181.2,18506,18304.4,18395.4,18504.8
802.3604216,17477.2,17800,17688,17777.2,18021.4,17477.2,17800,17688,17777.2,18021.4
806.7653126,17617.4,17874.4,17858.2,18149.4,18192.4,17617.4,17874.4,17858.2,18149.4,18192.4
811.1635487,17601.2,17846.6,17827.6,17930.2,18037.6,17601.2,17846.6,17827.6,17930.2,18037.6
815.5551412,17281.8,17670.2,17662.8,17688.8,17793.8,17281.8,17670.2,17662.8,17688.8,17793.8
819.9401013,17081.8,17536.8,17458.6,17299.8,17545.4,17081.8,17536.8,17458.6,17299.8,17545.4
824.3184404,17340.6,17588.4,17589.4,17674,17783.8,17340.6,17588.4,17589.4,17674,17783.8
828.6901698,17440.8,17655.4,17613.8,17820.6,17811.8,17440.8,17655.4,17613.8,17820.6,17811.8
833.0553007,17197,17455.8,17415.4,17629.4,17700.4,17197,17455.8,17415.4,17629.4,17700.4
837.4138444,16871.4,17167.4,17200.8,17325.2,17401.6,16871.4,17167.4,17200.8,17325.2,17401.6
841.7658122,17398.4,17674.8,17597.2,17674.6,17801.4,17398.4,17674.8,17597.2,17674.6,17801.4
846.1112152,17007,17405.8,17311.6,17465.8,17463.8,17007,17405.8,17311.6,17465.8,17463.8
