Name,HS_AAB_P2_750_5_5_H_S1.csv,,,,
Date,25/09/2024 10:54,,,,
Tag,HS_AAB_P2_750_5_5_H_S1,,,,
Comment,,,,,
Peak raman shift[cm-1],351.7585072,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7253398,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
965.088744,12479.6,12285.8,12279.8,12321.6,12156.8
969.2486227,12542.8,12404.2,12284.6,12309,12211.6
973.4022701,12615,12426.8,12320,12143,12295.2
977.5496973,12433.2,12259.8,12253.2,12149.4,12141.6
981.6909151,12515.8,12363.2,12338.4,12210.8,12155.4
985.8259346,12457,12258,12179.4,12174.6,12075.8
989.9547668,12563.8,12393.8,12335.2,12245,12200.6
994.0774227,12323.2,12231.8,12144.8,12084.2,11916.4
998.1939132,12747.8,12582,12386.6,12426.8,12326.8
1002.304249,12067.8,11941,11819,11750.8,11687.4
1006.408442,12432.8,12314,12298,12204.4,12148.8
1010.506502,12256.4,12125.4,11977.2,12072.4,11932.4
1014.598441,12622.8,12405,12377,12348,12308.2
1018.684269,12900.6,12714.8,12635.2,12560.4,12537.8
1022.763997,12481.8,12333.2,12246.8,12197.2,12229.8
1026.837637,12512.2,12373.2,12275.4,12168.6,12183
1030.905199,12358.2,12213.8,12178,12049,12042.8
1034.966694,12617.4,12575.2,12415.6,12397.6,12336.6
1039.022133,12380.2,12265.2,12178.8,12128.2,12143.8
1043.071527,12209,12046,12040,11946.8,11855.8
1047.114887,12398.8,12214.2,12196.2,12034.2,12064.8
1051.152224,12241.2,12120.6,12050.6,12002.2,11935.4
1055.183549,12082.2,11906,11865,11787,11726.2
1059.208872,12219.6,12037.2,12012,11844.4,11863
1063.228205,12032.8,11914.8,11864.6,11831,11809.4
1067.241558,12273.2,12131.6,11994,11983.4,11985
1071.248943,13180.8,13035.8,12837.6,12929.6,12861.6
1075.250369,12711,12561.4,12508.2,12440.4,12434.6
1079.245849,13209,13072,12916.6,12938.6,12879.2
1083.235393,12679.8,12466,12481.8,12396.6,12350.4
1087.219012,12473.6,12250.6,12299.2,12220.2,12082.2
1091.196717,12222.8,12208,12266.2,12017.8,12007.2
1095.168518,12388.6,12332,12181.6,12177.8,12039.8
1099.134427,12117.2,11966.2,11941.8,11820.2,11860
1103.094454,12182.8,12096.6,12006.8,11936.2,11864.8
1107.04861,12084.6,11998.6,11964.8,11951.4,11846.2
1110.996907,12299,12158.6,12103,12034,11950.8
1114.939354,12123.2,12057.6,12032,11920.2,11972
1118.875963,12195.8,12065.6,11919,11836.6,11813.4
1122.806745,12523,12431.2,12355.8,12202.2,12188.4
1126.731711,12225.6,12097,12008.8,11913.2,11926.6
1130.650871,12383.8,12291.2,12160.4,12115.8,12011.6
1134.564236,13228.6,13046.8,12998.6,12964.6,12906.4
1138.471817,13273.4,13230.6,13058.6,13100.6,12986.6
1142.373625,13227.4,13129.8,12966,12943,12944.2
1146.269671,12940.4,12902.8,12834,12737.6,12754.8
1150.159966,12405.2,12400.4,12269.4,12204,12174
1154.04452,12511.2,12320.6,12327.4,12331.2,12208.6
1157.923344,11943.4,11770.4,11780.2,11612.4,11605
1161.79645,11820.4,11623.4,11593.4,11588.2,11416.6
1165.663848,12062.8,11954.6,11885.8,11810.6,11770.8
1169.525549,11787.6,11607.6,11704.6,11584.6,11571.8
1173.381563,12073.4,11959.8,11955,11865.8,11799
1177.231902,11320.6,11291.2,11260.6,11244.4,11197.8
1181.076576,11637.4,11387.8,11342.6,11356.6,11312.2
1184.915596,11951.6,11781.6,11762.6,11662,11669.6
1188.748974,11986,11908.8,11784.4,11749,11694.4
1192.576719,11705.2,11616.8,11590.6,11567.6,11484.8
1196.398844,11662,11459.8,11436.2,11403.8,11278.8
1200.215357,11694.8,11546.6,11492.6,11475,11450
1204.026272,11491.8,11415.8,11330.4,11231.4,11260.6
1207.831597,11137,10979.2,11008.2,10913.6,10934
1211.631345,11570.2,11543.8,11397.8,11362.4,11340.4
1215.425525,11230.8,11137.6,11174,11129.8,11065
1219.21415,12480.6,12363.2,12236.6,12232.8,12241.8
1222.997229,11329.2,11335.2,11129.2,11105.8,11072.2
1226.774773,11393.4,11301.4,11207.4,11094.6,11102.6
1230.546794,11541.2,11423.8,11353.4,11378.4,11307.2
1234.313302,11588,11511.4,11549.6,11444.8,11384
1238.074307,11338.8,11272.6,11260.6,11152.6,11168.4
1241.829822,11334.4,11334.8,11324.6,11189.8,11103.2
1245.579857,11556.8,11519.2,11417.2,11346.2,11392
1249.324421,11484,11503,11448.6,11310.2,11329
1253.063528,10966.2,10968,10769.2,10816.2,10850.6
1256.797186,11327.2,11271,11136.4,11071.2,11163
1260.525408,11289.4,11155.8,11172.6,11085.6,11067.2
1264.248204,11351.2,11233.6,11207,11145.6,11186.8
1267.965584,11330.8,11280,11159,11123.4,11081.2
1271.67756,11107.6,11021.6,11023.8,11030.4,10791.2
1275.384142,10955.6,10839.8,10818.2,10793.6,10711.8
1279.085342,11345.2,11355.6,11302,11197.8,11234.8
1282.781171,11588.2,11498.4,11453.6,11355.4,11365.6
1286.471638,11144.8,11163.6,11120.8,11080.6,11093.2
1290.156755,11141.4,11094.6,11033,10979.6,10861.6
1293.836533,11192.4,11123.2,11169,11014.6,11055.8
1297.510983,11583.6,11601.8,11491.4,11461,11369.2
1301.180115,11165.4,11049.2,10897.2,10988.8,11017.4
1304.843941,11415.8,11296,11194.6,11227.2,11218.2
1308.502471,11510.8,11381.6,11339,11326.6,11308.8
1312.155716,11395,11352.2,11364.4,11274.8,11236.2
1315.803688,11123.6,10954.8,10926.8,10916.8,10916.8
1319.446396,11124.6,10994.4,11063.4,11025.6,10971
1323.083853,11686,11548.6,11488.2,11507.8,11485.6
1326.716068,11264.8,11213,11181.4,11086.8,11106.2
1330.343053,11763.6,11661.4,11589,11537.4,11589.8
1333.964818,11293.4,11199.2,11178.8,11172.8,11112.2
1337.581375,11397,11325.8,11381.4,11275,11301.6
1341.192735,11158.8,11218.6,11137.4,11094.8,11144.6
1344.798907,11178,11059,11027.8,11098,11117.2
1348.399904,11137.6,11025,10981.2,11040.8,10866.8
1351.995736,11017.6,11022.2,10942.6,10926,10906.6
1355.586415,11124.4,10985,11033.2,10860.2,10937.6
1359.17195,11501,11392.4,11391,11398.2,11356.4
1362.752353,11293.2,11111.8,11119.6,11090.2,11117.8
1366.327635,11180.2,11208.2,11205,11122,11038.2
1369.897807,11267.4,11213.8,11255.2,11123,11016.6
1373.462879,11370.4,11362.2,11230,11206,11134.4
1377.022864,11513,11503.8,11472.6,11404,11325.2
1380.577771,11483,11323.4,11294.8,11317,11350
1384.127611,11439.2,11269.2,11281.6,11254,11265.2
1387.672397,11738.4,11506.8,11543.4,11536,11419.8
1391.212137,11267.2,11355.6,11313.8,11214.6,11166.2
1394.746845,11175.6,11018,11050.2,11114.6,11007.8
1398.27653,11120.2,11029.8,11045.8,10937.4,10953
1401.801203,11157.2,11063.4,11056,11129,11089.4
1405.320876,11038,10984.2,10939.6,10951.4,10870.6
1408.835559,10693.4,10654.4,10561,10607,10520.2
1412.345264,10421.4,10421.4,10476,10374.2,10421.6
1415.850001,10816.8,10788.8,10765.2,10743,10820.6
1419.349782,11425.6,11392,11376.8,11285.6,11361
1422.844618,11203.4,11249.4,11130.8,11079.4,11119.8
1426.334519,11394,11306.4,11253,11271.4,11289.6
1429.819496,11940,11842.4,11868,11809,11730.2
1433.299561,11351.2,11344.2,11270.2,11280.8,11221.4
1436.774725,11279.2,11331,11260.8,11202.2,11171.8
1440.244998,11346.4,11208.4,11233.2,11186,11151.6
1443.710393,11015.6,10934.8,10924.2,10872.2,10826.4
1447.170919,10721.8,10770.2,10717,10721.4,10625.4
1450.626588,10739.2,10749.2,10652.6,10607.6,10601.4
1454.07741,11099.2,11050.8,10945,10919.8,10817
1457.523398,10994,10884.8,10865,10823.8,10833.8
1460.964562,11045.2,11022.6,10893.2,10875.4,10906.2
1464.400914,11056.6,10916.6,10948.4,10941.2,10958.8
1467.832463,10755.4,10568.6,10540,10564.8,10553
1471.259222,10783.4,10667.2,10615.8,10540.6,10544
1474.681201,10486,10366.6,10294.8,10309.4,10208
1478.098412,10927.4,10798.6,10883.6,10756.2,10773
1481.510866,10698.8,10568.6,10591.8,10543.2,10523.6
1484.918574,10593.2,10526.2,10462.6,10410.8,10438.6
1488.321546,10311.2,10241,10150.4,10201.2,10083.2
1491.719795,10517.8,10486.6,10417.2,10371.2,10393.8
1495.113332,11049.2,10918.8,10887,10792.2,10814
1498.502166,10488.8,10361.8,10392.6,10358,10309
1501.886311,10534.8,10523.8,10392.2,10393.8,10413.4
1505.265776,10169.2,10072.4,10024.6,10039.8,9981
1508.640573,10584.6,10463.8,10424.6,10358.8,10430.4
1512.010714,10404,10486.2,10507.8,10470,10427.2
1515.376209,10490,10379.2,10397.6,10258.4,10365.2
1518.737069,10322.4,10332.2,10308.2,10308.8,10257.4
1522.093306,10540.6,10499.2,10484,10373.6,10396.4
1525.444932,10103.8,10147.8,10068.6,10131,9987.2
1528.791957,10150.4,10120.6,10072.6,10097.2,10057
1532.134392,10740.4,10596.8,10696.2,10596,10530.6
1535.472249,10288,10303,10226.8,10299.2,10211.2
1538.805539,10298,10318.4,10281,10277,10209
1542.134274,10762.8,10754,10680.6,10639,10676.8
1545.458464,10053.4,9979.8,10078.6,9997.2,9987.2
1548.778121,11025.4,10941.4,10986.6,10976.4,10957.4
1552.093256,10671.8,10554.2,10541.4,10505.4,10549.4
1555.403881,10154.6,10069.8,10112.6,9989.2,10090.8
1558.710006,9871.8,9896.8,9787.2,9776.6,9799.2
1562.011644,10259.8,10157.6,10024.4,10097.4,10092.4
1565.308805,10355.6,10364,10331.4,10295.6,10220.4
1568.6015,10553.4,10490.4,10513.8,10453.2,10528.4
1571.889742,10346,10379,10395.4,10401.8,10366.2
1575.173542,10465.4,10265.6,10325.2,10337.8,10312
1578.45291,10319,10253.4,10250,10267,10211.2
1581.727858,10669.4,10534.4,10545,10558,10526.6
1584.998398,10223.8,10196.2,10146.2,10172.4,10141
1588.264541,10279.6,10270.6,10249.8,10142.2,10211.2
1591.526299,10164.6,10139.6,10101.6,10065,10003
1594.783682,10157.2,10104.8,10028.4,10020.8,9956
1598.036703,10016.6,9964.2,10000.6,9948.2,9967.2
1601.285372,10152.6,9989,10054,10024.8,10026.2
1604.529701,10384,10326.2,10326.8,10358.6,10331.8
1607.769702,10162.4,10154.4,10072.2,10025.8,10092.2
1611.005386,9911,9820.4,9819,9763.8,9738.4
1614.236765,10401.2,10334.4,10238.6,10250.6,10204
1617.463849,9731.6,9739,9703.2,9668,9566.6
1620.686651,10038.8,10019.4,10011.6,9977,9914
1623.905183,9716.8,9694.4,9673.2,9661.2,9632
1627.119454,9858.8,9732.4,9766.2,9773,9733
1630.329478,9670.2,9590.4,9644.4,9601.2,9648.4
1633.535265,9975.8,9868.2,9821.8,9762.6,9773.2
1636.736827,9729.8,9676.6,9687.4,9702.2,9720
1639.934176,9877.6,9842.6,9765.8,9770.8,9839.2
1643.127324,9989.2,9983.4,9968.8,9918.8,9926.2
1646.316281,9616,9532.6,9512.2,9539.8,9496.4
1649.50106,10191.4,10189.2,10136.4,10169.2,10027.8
1652.681671,9742.2,9658.6,9698,9683,9659
1655.858128,9467.2,9324.8,9362,9329.6,9385
1659.03044,9764.8,9762.6,9685.2,9671.4,9698
1662.198621,10225.8,10221.8,10246,10170,10134.2
1665.362681,9594.6,9587.8,9567,9463,9496.4
1668.522632,9747.2,9745.4,9773,9693.4,9629
1671.678487,9990.8,9903.2,9901,9810.6,9924.4
1674.830256,9945.2,9908.6,9929.4,9951.8,9814.6
1677.977951,9684.4,9550.4,9558.2,9552.8,9503.6
1681.121584,9706.6,9644,9672.8,9586.8,9661.6
1684.261167,9672.2,9672.8,9634.4,9715.6,9679.4
1687.396711,9696.6,9687.8,9640,9595,9621.4
1690.528229,9624.6,9614,9520,9531.4,9547.2
1693.655731,9385.4,9448,9403,9433,9368.6
1696.779231,9525.2,9501,9460.8,9396.8,9428.6
1699.898738,9617.6,9668.2,9673.2,9533.6,9669.8
1703.014266,9680.6,9665.2,9648,9614.2,9599.2
1706.125826,9558.8,9562,9467.2,9555.8,9407.2
1709.23343,9929.2,9889.4,9815.8,9834,9783.6
1712.33709,9635.6,9552.4,9558,9592.4,9577.6
