Name,HS_AAB_P3_750_5_5_H_S1.csv,,,,
Date,30/09/2024 12:42,,,,
Tag,HS_AAB_P3_750_5_5_H_S1,,,,
Comment,,,,,
Peak raman shift[cm-1],377.1881577,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7220408,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
1562.065216,9737.2,9790.6,9691.2,9681.2,9698
1565.362377,9979.4,9975.4,9855.6,9807.2,9772.6
1568.655073,10192.6,10113.4,10040.8,9990.2,10098.2
1571.943315,9931.8,9942.4,9840.8,9910.2,9891.8
1575.227114,9951.4,9945.6,9915,9810,9814.6
1578.506482,9886.8,9905.6,9773.8,9760.6,9794.4
1581.781431,10305.6,10243.6,10186.2,10090,10076
1585.051971,9860.8,9879.6,9720,9766.6,9698.4
1588.318114,9855,9870.2,9756.2,9745.6,9730
1591.579872,9787.8,9820,9646.6,9720.4,9734
1594.837255,9805.6,9718,9681.6,9624.6,9634.8
1598.090275,9753.2,9742.6,9628,9650.6,9666.2
1601.338945,9784.6,9742,9631.8,9600.6,9707
1604.583274,10096,10082,10006,9928.2,9954.2
1607.823275,9838.4,9793.8,9732.4,9704.6,9725.8
1611.058959,9577,9498.2,9382.2,9416.6,9432.4
1614.290338,10090.6,9958.8,9994,9987.4,9986
1617.517422,9465.6,9442.4,9375.2,9364,9332.6
1620.740224,9732.4,9737.6,9636.6,9769.4,9625.8
1623.958755,9481,9463.4,9343,9394.4,9417.6
1627.173027,9553.4,9590.6,9512.8,9533.4,9486
1630.38305,9329,9299.2,9196,9206.4,9169
1633.588838,9699,9632.6,9568,9578.4,9554.8
1636.7904,9477.6,9502.8,9419.6,9391.6,9340
1639.987749,9619.2,9579.2,9559.8,9527.2,9472
1643.180896,9765.4,9766.2,9673.6,9585.8,9613.4
1646.369853,9331.4,9277.4,9220.4,9179.2,9178
1649.554632,9914.6,9922.6,9889.2,9870.6,9847.8
1652.735244,9515.4,9402,9377.4,9383.8,9337.4
1655.9117,9194.4,9103.2,9110.8,9109.2,9004.6
1659.084013,9518.8,9444.6,9441.6,9327.6,9338.2
1662.252193,9965.4,9964.4,9843.4,9943.6,9920.2
1665.416254,9328,9325.8,9259.6,9177.4,9306.8
1668.576205,9562.6,9532.8,9421.2,9445.2,9424.2
1671.732059,9714.4,9673.6,9637.8,9739.2,9670
1674.883828,9796.6,9692.4,9763.6,9640,9675.4
1678.031523,9360.6,9327,9322.4,9348.2,9361.2
1681.175157,9456.6,9440.6,9446.2,9379.6,9384.8
1684.314739,9502.8,9431.2,9396.2,9412,9375
1687.450284,9469.4,9453.8,9395.6,9371,9373.8
1690.581801,9300.4,9360.8,9316.2,9314,9251.6
1693.709304,9266.8,9200.6,9199.6,9184.4,9162.6
1696.832803,9320,9244.8,9247.6,9175,9254
1699.952311,9459,9358.6,9467.8,9333.8,9452.4
1703.067839,9416.4,9470.6,9401.4,9471.6,9332.4
