record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,band,center_cm-1,window_cm-1,method,peak_value_mean,peak_value_sd,observed_shift_mean_cm-1,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,3,peak_1078.5_height,1078.5,7,height,2981.8918202822651,380.40500127675142,1076.103038,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1190.0639302906002,179.70367397103959,1583.0887676,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,36658.30934416705,2908.2433493762387,388.2915572,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,1,peak_1078.5_height,1078.5,7,height,243.48913387992633,25.477080576145202,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,2874.6023373795397,694.42987444385847,1581.7814310000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,34490.909251102523,222.52188311314819,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,2,peak_1078.5_height,1078.5,7,height,6694.7655974534982,139.24166831308625,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,3041.6521176820356,93.276756045597494,1588.3181139999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,9692.0093119326957,590.61131799686461,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,3,peak_1078.5_height,1078.5,7,height,13726.123844450593,1147.0411722019282,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,5266.0376860626775,478.08458894008794,1581.7814310000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,41307.581708239319,2854.2252432697933,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,1,peak_1078.5_height,1078.5,7,height,3239.8392659787592,259.7782398548685,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1417.9456834923453,23.459929393186542,1585.7051996,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,6100.2356965400468,342.32513456964489,392.32072840000001,5
