Wavelength,4ATP_10nM_rep3_acc1_I1
1937.648351,-37.754108135150545
1940.484927,68.04432537071443
1943.318525,73.64821351583169
1946.149158,236.47073065985978
1948.97684,522.0607263972202
1951.801584,236.071316712485
1954.623403,-42.04982928232448
1957.44231,111.79187058418574
1960.258318,-69.43421360267939
1963.071439,-122.10553079250622
1965.881688,24.989036174489684
1968.689078,60.749082145374814
1971.493621,6.450015519277258
