duplicate_group,sha256,copies,source,relative_path
29,0aa5a5b08415f677fb69cffc90c7c04feca80683e9eac274469ba4f78034db16,3,curated,Raman_spectra_data/Stability/19_05_24/4ATP_10nM_rep1_acc1.csv
30,0ad86249678175369277a9c105110cc9dc7dbd2f4e47d86c89792a0157851245,2,master_benchtop,24-10-21/Measures/Analitos elegidos/Artificial Sweat/Metadata/240731_GOAAB_AS_Blank_S2_C1_M2_c_md.csv
30,0ad86249678175369277a9c105110cc9dc7dbd2f4e47d86c89792a0157851245,2,master_benchtop,24-10-21/Measures/Artificial Sweat/Metadata/240731_GOAAB_AS_Blank_S2_C1_M2_c_md.csv
31,0afc7b1d9e4c687fa1905653ffb82f15a775f30bb890e3f41f493d089b7fa7f1,2,master_portable,Test HS/25-09-24/Blank/AAB_Blank_750_5_5_H.csv
31,0afc7b1d9e4c687fa1905653ffb82f15a775f30bb890e3f41f493d089b7fa7f1,2,master_portable,Test HS/Elegidos/25-09-24/Blank/AAB_Blank_750_5_5_H.csv
32,0b5e0e6b8579a915f76c515dc4d7c3f68a91b40b2d5b89c7cbb75d9b7ab4fc01,2,curated,Raman_spectra_data/Stability/19_05_24/4ATP_1mM_rep3_acc4.csv
32,0b5e0e6b8579a915f76c515dc4d7c3f68a91b40b2d5b89c7cbb75d9b7ab4fc01,2,curated,Raman_spectra_data/Stability/24_09_24/4ATP_10pM_rep3_acc4.csv
33,0c6b426d3582906bd8501678555bdbdf53f55757f0f45964488a222b297505f4,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-8M_750_5_5_L_S1.csv
33,0c6b426d3582906bd8501678555bdbdf53f55757f0f45964488a222b297505f4,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-8M_750_5_5_L_S1.csv
34,0cdb1937b8f41edbc6c5f717c3400b2111da5d37842e82113d2e8d31c342ab6d,2,master_portable,Test AS   Glu/02-08-24/Sustrato AuAgBC/Sudor artificial   Glu/AAB_AS_Glu_1X10^-2M_750_5_5_H_S3.csv
