Raman shift (cm-1),RM_AS,RM_HS_V1,RM_HS_V2,RM_HS_V3
2001.616387,54.71939803,68.59583488,42.94931245,57.62691
2000.771689,61.8759689,70.04543029,41.39053788,59.90327
1999.926851,64.60293958,69.25229386,43.63561103,62.85678
1999.081871,60.91835383,63.96580182,45.59956751,61.83877
1998.23675,59.45856607,60.39580472,46.20045123,59.72761
1997.391487,59.53899118,59.4756538,46.91713019,59.27405
1996.546083,57.58391781,54.69802699,44.65975944,57.19705
1995.700538,50.34252092,44.63445037,39.31607398,52.99064
1994.854852,48.23036593,37.62979349,36.05128581,51.84454
1994.009024,51.06186309,37.58981568,35.74618061,55.49956
1993.163055,57.78394052,40.65245283,36.88951841,57.9807
1992.316944,63.38337121,44.4368655,40.96882451,57.75579
1991.470692,63.17271542,50.746135,47.40318478,57.6716
1990.624298,71.22640344,60.4991943,52.192842,59.49826
1989.777763,79.48910024,67.51660254,53.44528167,60.46796
1988.931086,80.53969964,66.64516333,51.67058053,56.8121
1988.084268,76.74630653,60.88741361,47.1925679,53.01687
1987.237308,65.29883475,53.64837985,41.84984428,51.37992
1986.390206,57.38524451,48.79950454,39.87008554,51.40791
1985.542962,50.96720476,46.49780035,42.408705,52.42985
1984.695577,49.25887576,46.84242948,44.41890215,50.08475
1983.84805,58.70314543,52.63440932,43.22777859,46.46234
1983.000382,66.23291989,58.14494533,43.68693485,45.95793
1982.152571,74.96914599,63.50874629,48.03093561,49.00019
1981.304619,92.00428319,71.32700563,53.1043176,50.87928
1980.456524,100.8535508,74.64806177,58.51396959,48.86819
1979.608288,95.60622954,72.31517977,63.77339098,45.42612
1978.75991,98.56438159,72.42355792,65.84921191,40.69521
1977.91139,110.2111843,78.87372435,66.9739357,42.63904
1977.062728,121.0163748,86.09072031,71.85435164,50.11406
1976.213924,131.1805293,90.05403229,77.91855322,52.07402
1975.364977,136.8644662,93.63587711,80.46865561,52.89951
1974.515889,144.6529966,100.8625415,80.52628931,55.92557
1973.666659,146.0003731,105.9895484,79.41288207,54.02303
1972.817286,139.4864009,104.7973201,77.0090202,48.29078
1971.967771,137.800333,102.0747059,75.64958441,47.00916
1971.118114,133.1826037,97.35287262,74.89994554,47.7161
1970.268315,129.606039,92.5900812,71.50496963,50.62666
1969.418374,123.1086706,87.36054614,67.48428784,54.70423
1968.56829,105.5114477,78.58495408,65.30208901,52.56191
1967.718064,88.80664994,70.89389368,62.43992153,49.15443
1966.867695,74.74863576,66.29852813,59.22744608,48.11487
1966.017184,68.85646627,67.90052564,58.53289687,48.95219
1965.166531,70.38964126,74.08653399,57.95763703,50.40699
1964.315735,73.05670863,78.87284967,54.34978151,51.51072
1963.464797,73.86426997,80.41690059,50.1241843,53.58811
1962.613716,67.42459265,77.02367825,48.06140213,54.45542
1961.762493,60.85001714,72.88060582,46.01110273,53.04489
1960.911127,53.69714721,66.3823241,41.95566973,48.10062
1960.059618,46.08263134,58.46227279,39.03271199,42.77512
1959.207967,42.77861195,55.45644731,39.60654284,41.60901
1958.356173,44.341897,55.04249304,40.82952588,40.85113
1957.504237,44.95042167,57.03834843,41.65183837,40.02752
1956.652157,42.36377794,59.6691374,44.89358658,38.2119
1955.799935,43.16512826,61.78546831,49.40310538,33.18039
1954.947571,45.29896637,64.0151587,51.68948823,31.31882
1954.095063,53.04759781,67.32124828,52.57822083,32.2424
1953.242412,57.35993571,70.04962732,53.48337124,32.36348
1952.389619,55.91604814,70.29312602,54.82811032,34.92309
1951.536683,62.3823449,72.67556019,58.45302339,37.53247
1950.683603,63.78032487,75.73136655,63.90037954,37.53221
1949.830381,67.55172767,84.15594731,69.27857252,40.82342
1948.977016,84.72040953,99.46982312,74.95257024,48.1921
1948.123508,95.68707247,109.8675067,79.98324785,52.60086
1947.269856,104.7320671,117.5455802,81.79826753,54.12846
1946.416062,115.9426246,125.9764492,80.1858945,56.55762
1945.562124,121.2308355,132.2045969,77.0666936,58.00495
1944.708044,125.0614506,133.6136011,74.06551863,55.78656
1943.85382,122.3875095,126.868865,70.39138556,53.95742
1942.999453,121.0841525,118.0647678,63.54085136,53.45025
1942.144942,124.0001837,108.8190792,52.75918376,51.17076
1941.290289,120.90014,99.09300987,41.03095587,50.41424
1940.435492,124.7527723,96.13173828,32.89385954,49.76727
1939.580551,128.7693123,96.85230448,28.67097089,47.47662
1938.725468,123.3046212,94.83623253,24.64073444,44.99599
1937.87024,119.2183512,92.30801468,20.29390884,41.56611
1937.01487,115.3852911,93.78644847,18.90687241,40.73031
1936.159356,119.0198286,99.27206023,21.36298238,42.45774
1935.303698,127.2513641,104.6948811,25.25497127,42.46127
