Raman shift (cm-1),RP_AS,RP_HS_V2,RP_HS_V3,RP_HS_V4
1154.098093,206.0012174,298.3801067,19.88929196,56.36376
1157.976917,137.7179151,176.7548867,16.63437981,59.39134
1161.850023,74.32847614,93.78884667,45.27730641,47.18426
1165.717421,40.21324652,38.42502333,6.844451195,1.25043
1169.579121,58.708287,-6.27963,0.010637837,2.60747
1173.435135,60.20894635,-8.728036667,2.426076917,-13.46479
1177.285474,57.96605032,7.931186667,-11.3863373,-10.97975
1181.130148,105.5719719,71.65823333,-1.592669109,33.22442
1184.969169,186.4517434,173.69682,25.7603129,34.8361
1188.802547,173.7219677,211.6528767,72.71805544,89.62374
1192.630292,103.7943511,211.9440267,86.82273564,126.77558
1196.452416,108.408521,182.5881967,50.67261158,114.92443
1200.26893,74.00737175,139.8082567,44.81615931,76.0468
1204.079844,-36.28210869,91.94703333,41.78724906,34.66959
1207.88517,-24.65570019,47.96096333,-12.80304676,-5.08077
1211.684917,0.508814132,9.81904,-21.98491112,-42.52128
1215.479098,56.43549993,59.04439,50.01996556,53.96748
1219.267722,139.1868216,107.7997667,65.39700088,140.7096
1223.050801,70.36624726,61.32237667,11.82684371,41.57544
1226.828346,3.225973553,61.46307667,-8.925369682,-13.48389
1230.600366,69.42098029,50.09659,-4.522901482,7.63026
1234.366874,137.6935006,47.65698667,16.58530913,14.24456
1238.12788,52.9217766,49.96421333,22.77491452,5.3806
1241.883395,50.2595111,34.80828333,16.90637879,19.13687
1245.633429,117.5456418,76.81380667,61.49035535,80.2552
1249.377994,60.89886036,60.67615333,54.82975881,78.62397
1253.1171,68.1162916,62.75620667,9.21810499,13.84683
1256.850759,56.19796456,38.79308333,28.76588085,25.00869
1260.578981,1.186902332,28.4372,32.03511842,39.5459
1264.301776,124.1787221,62.50609,28.89378934,47.7949
1268.019157,167.7826921,82.46952333,26.86252475,43.24045
1271.731133,52.57756961,47.95950333,-18.15335713,8.20645
1275.437715,49.69894458,40.13593667,-1.129657749,20.21307
1279.138915,55.85360203,46.34136,73.19366615,123.81086
1282.834743,36.2175559,44.61571667,75.11084405,64.10733
1286.52521,41.61916126,20.75142,2.759425176,0.93734
1290.210328,-9.76712633,2.19131,-37.44098013,-24.85929
1293.890106,-13.57663711,17.99954667,1.931777469,5.15802
1297.564555,62.33006814,87.61676,62.30226409,122.24099
1301.233688,135.1054784,83.23942333,85.50012865,96.76306
1304.897514,124.0123905,86.97404333,81.03916043,109.48529
1308.556044,141.9555762,153.3181267,80.33878399,118.29843
1312.209289,145.1766572,118.27619,75.0049798,119.47869
1315.857261,49.49040488,68.55244333,74.43310315,69.35981
1319.499969,53.69323978,31.05567,57.02074029,18.90694
1323.137425,109.3612209,19.96713667,0.953123211,33.82351
1326.769641,112.4410471,12.78363333,-13.48967694,18.21885
1330.396626,38.68349869,26.05826667,21.79147753,61.33065
1334.018391,5.186865456,18.21389333,49.85433839,44.08229
1337.634948,42.83265546,26.56801,36.38692155,17.45702
1341.246307,21.15669994,19.59783333,2.569193578,3.3488
1344.85248,-19.84671288,47.46230333,25.64679769,37.65397
1348.453477,-15.97765823,57.66941667,46.0173264,30.67158
1352.049309,-3.391648747,30.27958,10.49678551,1.55413
1355.639987,58.36977841,9.599706667,4.457797348,28.65514
1359.225522,125.9447052,28.91509667,11.37982531,45.93107
1362.805925,67.33174406,51.53271667,3.475459586,39.44463
1366.381207,13.90214594,81.99880333,34.95391613,24.49516
1369.951379,71.66574511,114.9474167,70.80071224,60.60026
1373.516452,120.690798,94.89636,96.12513198,77.56303
