Name,AAB_Blank_750_5_5_H.csv,,,,,,,,,,,,,,
Date,25/07/2024 14:57,,,,,,,,,,,,,,
Tag,AAB_Blank_750_5_5_H,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,
Peak raman shift[cm-1],367.0610602,,,,,,,,,,,,,,
Integration[ms],750,,,,,,,,,,,,,,
Averaging,5,,,,,,,,,,,,,,
Measure data Count,5,,,,,,,,,,,,,,
Source wave length,784.7220408,,,,,,,,,,,,,,
Calibrate value 0,778.657113,,,,,,,,,,,,,,
Calibrate value 1,0.351105861,,,,,,,,,,,,,,
Calibrate value 2,-0.000114612,,,,,,,,,,,,,,
Calibrate value 3,-1.40E-08,,,,,,,,,,,,,,
Calibrate value 4,-6.35E-12,,,,,,,,,,,,,,
Calibrate value 5,6.469782684E-14,,,,,,,,,,,,,,
Sensor pixel num,512,,,,,,,,,,,,,,
Count monitor raman shift,0,,,,,,,,,,,,,,
Count monitor value,0,,,,,,,,,,,,,,
Dark name,,,,,,,,,,,,,,,
Ramanshift[cm-1],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
559.0563139,12126.6,11959.6,12028.4,11987.8,12108,13129.4,12944.8,12794.2,12697.6,12677.6,12782.4,12648.8,12506,12522,12472
563.8304402,11928.4,11825.8,11889.6,11828.2,11867.4,12951.6,12776.8,12549.2,12600.8,12596.4,12610.4,12354.2,12345,12327.6,12403
568.597293,12615.2,12523.4,12613.8,12455.2,12559.8,13617.4,13515.4,13350.6,13274.4,13167.4,13254,13261.6,13137.2,13036.2,13073
573.3568844,12375.4,12231.4,12246.4,12160.8,12205.6,13350.4,13240.4,13046.2,12979.4,12988.2,13032.2,12887.6,12837.6,12800.4,12853.6
578.1092263,12113,12051.2,11934.8,11895.8,12081,13137,12891,12868,12769.4,12693.2,12714.4,12566,12529.2,12587.8,12470.6
582.8543308,12306.8,12301.8,12245.2,12220.6,12336.2,13449.8,13255.8,13103.2,13043.8,13035.2,13064,12840.2,12853.4,12931.8,12955
587.5922101,12287,12225.4,12221.8,12125,12115.2,13323.2,13165.2,13015.6,12931.8,12915.6,12949,12750,12699.6,12704,12767.4
592.322876,12084.6,11972.6,12015.4,11894,11874.2,13044.2,12971.2,12794.4,12686.2,12631.4,12677.6,12602.6,12549.8,12425.4,12562.8
597.0463405,12083,12090.6,12082.4,12017.8,11965.6,13193.6,13024.4,12888.2,12779.2,12705,12777.6,12660,12572,12571.4,12496.2
601.7626157,12328.2,12336.4,12257,12259.8,12244.2,13343.2,13272.2,12973.8,13048.6,12983.8,12958.8,12851.4,12770.4,12777.8,12852.8
606.4717135,11997.6,12008,11944.8,11899,11950.8,12931.8,12870.4,12800.8,12744.8,12594.4,12593.2,12432.8,12368.2,12434.6,12508.6
611.1736458,11960.6,12017.6,11877.6,11899.2,11928,13014.4,12799.8,12735,12569.4,12600.4,12651.8,12479.8,12371,12411.4,12451.4
615.8684246,12047.8,12023.4,11832.4,11827.8,11902,13027.4,12855.8,12751.2,12683.2,12612.2,12592,12458.2,12442,12524.8,12436
620.5560617,12281,12197.6,12077.8,12065.2,12111.4,13299.4,13077.6,12950.6,12878.4,12833.4,12912,12720,12640,12653.4,12709.2
625.2365691,11991.8,11916.4,11775.8,11924.8,11905.8,12937,12877,12687.4,12557.6,12509.6,12640,12516.8,12493.6,12444,12397.8
629.9099585,12363.8,12290,12163.2,12288.6,12296.2,13426.2,13145.2,13088.4,12926.2,12958,13103.4,13067.4,12954.6,12977.2,13009
634.5762419,12347.4,12477.6,12379.8,12311.4,12341.4,13436,13274.8,13145.2,13097.2,13078,13179.2,13011.6,12917.6,12969.8,13027
639.2354312,11921.6,11937.8,11836.8,11823.2,11846.4,12972.2,12710.6,12595.6,12561,12481.6,12525.4,12533.2,12415.4,12349.4,12372.8
643.887538,11936.6,11978.4,11948.6,11967.6,11965,12977.2,12888.8,12823,12631.4,12708.4,12727.4,12627.8,12586,12567.8,12510.8
648.5325743,11814.4,11859.4,11807.4,11902.2,11767.4,12875.6,12722,12628.2,12563.8,12459.2,12531,12355.2,12297.6,12218.8,12333.4
653.1705518,11890.2,11756.6,11811.2,11697,11747.4,12812.2,12583.6,12516.8,12455,12444.2,12346,12320,12310.4,12289,12362.4
657.8014823,11919.6,11868.6,11842.6,11937.6,11854.6,13027,12802.8,12667,12644.8,12489.2,12563.8,12468.2,12476.4,12480.2,12461.2
662.4253775,11520.4,11560.2,11456.6,11416.2,11402.4,12558.2,12338.8,12251.6,12089.8,12179,12152.6,11979,11953.4,11964.4,12005
667.0422493,11716.8,11784.4,11739.8,11711.8,11735,12698.2,12564.6,12425.8,12368.8,12347.4,12372.8,12320.8,12201.2,12362.8,12210.8
671.6521092,11782.4,11777.4,11661.8,11643.6,11703.2,12704.8,12547.4,12374.4,12381.4,12355.4,12389.4,12229.8,12155.8,12215,12305.4
