Wavelength,AAB_4-ATP^10-15M_C2_M3_I1
1597.12432603579,109.54501193260613
1596.21088991978,120.71124594490799
1595.29729768166,122.11663722227213
1594.38354928685,121.38590727039485
1593.46964470074,129.81587953455914
1592.55558388872,140.83769029198882
1591.64136681614,143.24469107450548
1590.72699344838,141.0868188103619
1589.8124637508,140.12664259255064
1588.89777768872,139.2861671085707
1587.98293522748,138.78541421029078
1587.0679363324,136.25329128612861
1586.15278096879,127.0677866598301
1585.23746910194,115.75126059376879
1584.32200069714,111.26509367193368
1583.40637571967,113.31723612057786
1582.4905941348,112.85243775663325
1581.57465590777,106.11640954036184
1580.65856100384,101.01307511997486
1579.74230938823,102.39806966829367
1578.82590102618,103.89662796699119
