#Wave,#Intensity1,#Intensity2
1631.319299,8265,7725
1630.412079,8269,7838
1629.504705,8370,7810
1628.597176,8391,7854
1627.689492,8528,7833
1626.781654,8457,7942
1625.87366,8482,7883
1624.965512,8448,8025
1624.057208,8503,8068
1623.14875,8711,8093
1622.240136,8710,8133
1621.331368,8687,8305
1620.422444,8706,8122
1619.513366,8793,8273
1618.604132,8790,8353
1617.694743,8922,8319
1616.785198,8835,8307
1615.875499,8962,8338
1614.965644,8963,8455
1614.055634,8951,8411
1613.145468,8933,8381
1612.235147,9082,8328
1611.324671,9026,8598
1610.414039,9187,8499
1609.503252,9061,8498
1608.592309,9126,8509
1607.681211,8943,8718
1606.769957,9197,8606
1605.858547,9161,8622
1604.946982,9258,8668
1604.035261,9228,8721
1603.123384,9245,8554
1602.211351,9295,8648
1601.299163,9246,8694
1600.386819,9278,8815
1599.474318,9306,8735
1598.561662,9350,8693
1597.64885,9422,8682
1596.735882,9239,8651
1595.822758,9457,8807
1594.909478,9450,8654
1593.996042,9463,8756
1593.08245,9411,8721
1592.168702,9548,8812
1591.254797,9310,8853
1590.340736,9570,8790
1589.426519,9581,8813
1588.512146,9702,8924
1587.597616,9624,8879
1586.68293,9845,8881
1585.768088,9659,8805
1584.853089,9666,8848
1583.937933,9742,8712
1583.022622,9765,8829
1582.107153,9785,8842
1581.191528,9816,8882
1580.275747,9900,8864
1579.359808,9862,8850
1578.443713,9934,8784
1577.527462,9805,8748
1576.611053,10057,8817
1575.694488,9934,8757
1574.777766,9977,8810
1573.860888,9938,8790
1572.943852,9942,8690
1572.026659,9907,8796
1571.10931,9829,8567
1570.191803,10034,8654
1569.27414,9828,8527
1568.356319,9628,8541
1567.438341,9662,8500
1566.520206,9498,8599
1565.601914,9504,8475
1564.683465,9408,8469
1563.764859,9391,8533
1562.846095,9345,8357
1561.927174,9301,8298
1561.008095,9135,8278
1560.08886,9111,8181
1559.169466,9042,8271
1558.249916,9073,8246
1557.330208,9000,8183
1556.410342,8966,8141
1555.490319,8814,8094
1554.570138,8810,8108
1553.6498,8777,8134
1552.729304,8921,8240
1551.80865,8878,8115
1550.887839,8720,8089
1549.96687,8703,7870
1549.045743,8728,7939
1548.124458,8644,8035
1547.203015,8656,8042
1546.281415,8537,7962
1545.359656,8619,7899
1544.43774,8508,7872
1543.515665,8546,7917
1542.593432,8558,7849
1541.671042,8495,7929
1540.748493,8544,7912
1539.825786,8416,7923
1538.902921,8487,7876
1537.979898,8393,7932
1537.056717,8390,7884
1536.133377,8413,7867
1535.209879,8446,7764
1534.286222,8381,7815
1533.362407,8330,7697
1532.438434,8436,7702
1531.514302,8396,7783
1530.590012,8314,7689
1529.665563,8380,7854
1528.740956,8338,7930
1527.81619,8301,7833
1526.891265,8305,7883
1525.966182,8427,7713
1525.04094,8424,7801
1524.115539,8292,7778
1523.18998,8386,7760
1522.264261,8363,7901
1521.338384,8336,7746
1520.412348,8288,7692
1519.486153,8304,7700
1518.559799,8317,7743
1517.633286,8272,7741
1516.706614,8306,7703
1515.779783,8230,7800
1514.852793,8234,7680
1513.925643,8179,7622
1512.998335,8226,7636
1512.070867,8269,7700
1511.14324,8150,7800
1510.215454,8240,7681
1509.287509,8231,7765
1508.359404,8262,7556
1507.43114,8210,7597
1506.502716,8231,7615
1505.574133,8200,7729
1504.64539,8259,7722
1503.716488,8267,7695
1502.787426,8271,7741
1501.858205,8224,7656
1500.928824,8262,7685
1499.999283,8352,7717
1499.069583,8249,7710
1498.139723,8204,7676
1497.209703,8228,7607
1496.279523,8057,7709
1495.349184,8262,7652
1494.418685,8249,7679
1493.488025,8233,7719
1492.557206,8247,7763
1491.626227,8190,7676
1490.695087,8199,7649
1489.763788,8191,7605
1488.832329,8324,7629
1487.900709,8208,7771
1486.968929,8125,7710
1486.036989,8324,7783
1485.104889,8206,7700
1484.172629,8321,7687
1483.240208,8310,7691
1482.307627,8399,7663
1481.374885,8354,7734
1480.441983,8218,7738
1479.508921,8323,7647
1478.575698,8328,7755
1477.642314,8423,7792
1476.70877,8395,7734
1475.775066,8405,7906
1474.8412,8340,7702
1473.907174,8459,7775
1472.972988,8473,7817
1472.03864,8484,7851
1471.104132,8539,7851
1470.169463,8748,7806
1469.234633,8624,7702
1468.299643,8598,7805
1467.364491,8473,7792
1466.429178,8424,7766
1465.493705,8498,7775
1464.55807,8488,7879
1463.622274,8655,7791
1462.686317,8386,7874
1461.7502,8460,7915
1460.81392,8449,7871
1459.87748,8612,7889
1458.940878,8518,7862
1458.004115,8604,7854
1457.067191,8575,7855
1456.130106,8552,7768
1455.192859,8681,7826
1454.25545,8695,7884
1453.31788,8632,7831
1452.380149,8848,7978
1451.442256,8720,8026
1450.504201,8857,7934
1449.565985,8814,7950
1448.627607,9076,8070
1447.689068,8991,8056
1446.750367,9183,8111
