#Wave,#Intensity1,#Intensity2
1329.165477,6199,5535
1328.206104,6234,5533
1327.246565,6149,5500
1326.286859,6267,5470
1325.326987,6288,5517
1324.366948,6245,5467
1323.406743,6195,5490
1322.446371,6151,5422
1321.485832,6268,5559
1320.525127,6147,5447
1319.564255,6123,5492
1318.603216,6245,5527
1317.64201,6238,5536
1316.680638,6206,5512
1315.719099,6248,5445
1314.757392,6278,5521
1313.795519,6181,5407
1312.833479,6224,5515
1311.871271,6242,5444
1310.908897,6341,5453.619151
1309.946356,6255,5463.239973
1308.983647,6230,5472.862465
1308.020771,6273,5482.486628
1307.057728,6299,5492.112463
1306.094518,6222,5501.73997
1305.13114,6292,5511.369149
1304.167595,6297,5521
1303.203883,6317,5617
1302.240003,6354,5504
1301.275956,6226,5575
1300.311741,6239,5518
1299.347359,6145,5504
1298.382809,6193,5600
1297.418092,6264,5530
1296.453207,6275,5532
1295.488154,6187,5589
1294.522934,6206,5512
1293.557545,6196,5561
1292.591989,6154,5475
1291.626265,6270,5510
1290.660374,6219,5494
1289.694314,6185,5543
1288.728086,6204,5510
1287.761691,6302,5504
1286.795127,6172,5523
1285.828396,6159,5445
1284.861496,6316,5528
1283.894428,6263,5570
1282.927192,6345,5466
1281.959787,6204,5494
1280.992215,6195,5449
1280.024474,6227,5559
1279.056565,6249,5587
1278.088487,6238,5496
1277.120241,6255,5545
1276.151827,6199,5495
1275.183244,6189,5582
1274.214492,6195,5588
1273.245572,6254,5479
1272.276484,6242,5540
1271.307226,6298,5531
1270.3378,6244,5568
1269.368206,6228,5576
1268.398442,6218,5581
1267.42851,6239,5569
1266.458409,6181,5569
1265.488139,6212,5555
1264.5177,6207,5517
1263.547092,6261,5518
1262.576316,6193,5477
1261.60537,6147,5439
1260.634255,6236,5479
1259.662971,6151,5532
1258.691518,6306,5518
1257.719896,6269,5548
1256.748104,6184,5414
1255.776143,6240,5410
1254.804013,6139,5499
1253.831714,6226,5578
1252.859245,6168,5481
