#Wave,#Intensity1,#Intensity2,#Intensity4,#Intensity17
1044.8266,13308,12997,11842,8085
1045.835516,13211,12922,11647,8116
1046.844253,13241,12910,11696,8051
1047.852813,13243,12851,11791,7949
1048.861195,13472,12950,11803,8123
1049.8694,13318,12799,11960,8154
1050.877426,13443,12971,11697,8092
1051.885276,13505,12974,11792,8133
1052.892947,13338,12938,11811,8274
1053.900442,13523,13043,11817,8164
1054.907758,13532,13093,11795,8400
1055.914898,13537,13052,11701,8259
1056.92186,13496,13227,11805,8396
1057.928644,13497,13045,11769,8367
1058.935251,13434,12954,11862,8237
1059.941682,13555,13191,11922,8251
1060.947934,13687,13150,12016,8293
1061.95401,13697,13207,11907,8425
1062.959909,13591,13017,11927,8554
1063.96563,13671,13230,11977,8526
1064.971175,13598,13317,12132,8540
1065.976542,13658,13295,12092,8626
1066.981733,13802,13448,12120,8678
1067.986746,13852,13637,12255,8988
1068.991583,14069,13637,12211,8977
1069.996243,14086.13555,13792,12096,8884
1071.000726,14103.26808,13871,12275,8922
1072.005032,14120.3976,13913,12475,9004
1073.009161,14137.52411,14066,12467,9186
1074.013114,14154.6476,14030,12446,9067
1075.016891,14171.76808,14086,12448,9059
1076.02049,14188.88554,14110,12554,9219
1077.023913,14206,13940,12543,9125
1078.02716,14200,14146,12528,9125
1079.03023,14381,14067,12569,9167
1080.033124,14128,13882,12501,8934
1081.035841,14119,13925,12481,9006
1082.038382,13957,13770,12304,8922
1083.040747,14047,13683,12311,8908
1084.042935,13898,13769,12102,8755
1085.044947,13984,13537,12097,8688
1086.046783,13759,13392,12204,8642
1087.048443,13820,13251,12184,8526
1088.049927,13807,13297,11951,8448
1089.051235,13728,13385,12099,8420
1090.052366,13803,13302,12153,8547
1091.053322,13765,13277,12119,8515
1092.054102,13663,13276,12228,8452
1093.054706,13878,13115,12065,8542
1094.055134,13667,13104,11962,8449
1095.055386,13610,13384,11927,8430
1096.055462,13668,13212,11907,8553
1097.055363,13658,13356,12072,8447
1098.055088,13639,13128,12135,8380
1099.054637,13709,13251,11990,8384
1100.054011,13651,13234,11906,8355
1101.053209,13755,13145,11956,8396
1102.052232,13665,13140,12096,8355
1103.051079,13600,13162,12088,8485
1104.049751,13659,13252,12017,8350
1105.048247,13395,13019,11894,8341
1106.046568,13507,13096,11936,8227
1107.044714,13621,13077,11859,8299
1108.042684,13557,13109,11844,8275
1109.040479,13527,13376,12071,8336
1110.038099,13612,13013,11800,8261
1111.035544,13637,13032,11984,8402
1112.032813,13461,13101,12025,8342
1113.029908,13536,13058,11984,8257
1114.026827,13621,13154,11979,8452
1115.023571,13772,13032,11884,8324
1116.020141,13708,13158,11899,8325
1117.016536,13651,13008,11893,8344
1118.012755,13587,13182,11856,8401
1119.0088,13678,12983,12123,8414
1120.00467,13526,13249,11795,8402
1121.000365,13564,13191,12060,8415
1121.995886,13460,13190,11914,8421
1122.991232,13483,13048,11911,8515
1123.986403,13607,13155,11821,8386
1124.9814,13510,13033,11856,8462
1125.976222,13669,13283,11964,8580
1126.970869,13726,13157,12080,8599
1127.965342,13705,13102,11965,8509
1128.959641,13653,13005,12014,8609
1129.953765,13799,13184,12134,8709
1130.947715,13772,13435,12135,8829
1131.941491,13884,13427,12214,8956
1132.935092,13903,13366,12046,8983
1133.928519,13902,13523,12176,8942
1134.921772,13747,13592,12316,9064
1135.914851,13799,13796,12131,9117
1136.907756,14172,13810,12364,9249
1137.900486,14198,13995,12531,9346
1138.893043,14148,13936,12500,9206
1139.885425,13967,14006,12655,9170
1140.877634,14148,14214,12581,9049
1141.869668,14160,14086,12594,9112
1142.861529,14147,14388,12587,9014
1143.853216,14259,14289,12491,8893
1144.844729,14202,14430,12509,8857
1145.836069,14194,14198,12533,8859
1146.827234,14043,14034,12339,8763
1147.818227,14215,14098,12448,8853
1148.809045,13987,14111,12394,8809
1149.79969,14025,14028,12475,8577
1150.790161,13961,13767,12424,8655
1151.780459,14089,13651,12231,8660
1152.770583,13812,13674,12094,8628
1153.760534,13814,13581,12268,8649
1154.750311,13862,13538,12278,8600
1155.739915,13842,13620,12152,8672
1156.729346,13944,13640,12207,8564
1157.718604,13898,13389,12068,8551
1158.707688,13797,13403,12177,8578
1159.696599,13858,13344,12190,8621
1160.685337,13813,13399,12220,8688
1161.673902,13764,13460,12298,8675
1162.662294,13840,13453,12323,8605
1163.650512,13807,13367,12219,8601
1164.638558,13857,13273,12223,8639
1165.626431,13729,13391,12203,8594
