Wavelength,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5
1138.471817,1221.463178,1256.844528,1061.198844,1193.895153,1130.414214
1142.373625,1212.873204,1249.050204,1042.734762,1134.997329,1171.511783
1146.269671,893.5459956,971.4666693,829.3456822,876.1981675,899.0510123
1150.159966,574.8543109,669.3332602,516.9612173,594.8114767,582.1304579
1154.04452,449.6814429,406.0637884,328.4463833,377.152154,333.5042933
1157.923344,315.758906,221.6255053,199.5207227,219.0678451,211.0891301
1161.79645,186.9769682,142.3543622,46.7459137,108.9470695,-36.86506631
1165.663848,113.6944417,90.17574811,-4.616053837,38.82912801,47.52274605
1169.525549,28.53995056,-24.6852779,16.11290325,-2.887869683,-16.77432007
1173.381563,-12.03155977,-15.81320923,-14.74578987,-15.09240027,-71.97000993
1177.231902,-49.07369969,9.214896097,-67.87422651,13.46113998,-13.87578413
1181.076576,129.653926,9.277616642,3.765551382,86.887871,5.303901111
1184.915596,311.7883327,210.6394937,169.9555173,183.1267513,176.6620178
1188.748974,265.5276747,311.4963274,234.4019477,251.4988689,164.7018288
1192.576719,211.0356839,200.7732928,200.9975635,256.1313934,132.5183891
1196.398844,213.2207191,108.5634777,136.3748287,211.353668,18.2335564
1200.215357,159.8986833,110.085564,101.8998647,147.8714722,62.0294831
1204.026272,104.5641908,98.96717054,119.2995672,81.60972043,70.12988174
1207.831597,49.60755618,2.201699498,47.24396022,42.47419335,10.52059011
1211.631345,-45.61067128,-17.01214808,7.406690113,60.97044985,-61.19462825
1215.425525,-1.73137134,10.96442509,78.51277317,91.15254658,18.30148911
1219.21415,66.19170328,2.400352021,19.02909757,53.34639898,59.33205582
1222.997229,-66.13364675,30.74338857,-54.03939987,-15.90646032,-118.0203832
1226.774773,45.4347938,17.07622078,2.412239345,4.907503932,-2.629872867
1230.546794,47.37180843,0.625450506,91.97001823,115.9303866,27.90572462
1234.313302,101.2690186,107.3754617,224.3111313,171.6654217,139.1204656
1238.074307,96.95627624,80.28424965,199.8686118,103.5818019,140.1039633
1241.829822,-138.0251437,-37.70934005,38.22399464,20.66338832,-137.0292273
1245.579857,65.45964274,72.03395267,99.02979808,19.53127488,107.134647
1249.324421,10.78420579,135.6629595,137.5677621,41.35679107,74.26648513
1253.063528,-24.96012506,32.11605246,-50.11747143,11.01866232,58.39920728
1256.797186,-39.61399188,8.634973803,-58.81839513,-28.78855451,4.589777194
