Wavelength,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5,AAB_AS_750_5_5_H_S1_I1,AAB_AS_750_5_5_H_S1_I2,AAB_AS_750_5_5_H_S1_I3,AAB_AS_750_5_5_H_S1_I4,AAB_AS_750_5_5_H_S1_I5
1130.72473,738.47454,482.77266,477.84954,470.24252,468.71264,410.0872468,288.590676,358.5084265,314.138503,431.7266884
1134.638096,975.69538,812.41599,800.20467,852.76405,750.85732,676.1319065,648.1591577,715.1232894,631.6818391,719.8964714
1138.545677,1170.50019,980.07723,975.79453,964.29599,910.33194,977.1581016,935.2175213,989.1961976,894.3399067,969.7106723
1142.447485,1126.09742,968.18799,933.0623,926.27857,931.48447,957.7686169,947.3151076,965.6595955,913.934819,998.4002847
1146.343531,806.39629,687.63654,690.60149,842.96112,743.72207,551.5792151,563.7028378,681.3769694,687.4874609,782.293122
1150.233826,475.88234,370.43723,386.69973,491.33522,351.40626,222.6026923,229.8685739,379.3144002,381.5555888,485.3994208
1154.11838,342.43517,214.59031,182.85755,206.57527,196.43382,143.0201391,157.7309441,189.9676969,152.8225198,273.5787537
1157.997204,305.50664,173.28,114.06887,183.02095,211.88643,62.08538002,36.94912423,67.48539487,34.95769763,187.9386743
1161.87031,228.74088,120.26575,47.18942,150.70778,104.08399,-42.68143417,-65.13390766,3.069803146,-2.780375491,199.8228638
1165.737708,94.6844,-33.35181,-29.16938,36.6099,81.73686,-44.72181835,-37.98549527,47.4595774,24.06063188,262.8096027
1169.599408,-2.19381,-38.02863,-30.59772,-52.0769,107.95274,23.70051134,39.65027555,150.7951144,83.41256281,304.4687301
1173.455423,-14.66903,-65.09265,-7.19949,-1.93962,6.83119,18.46688861,85.71408729,191.8692234,101.5655963,286.5432667
1177.305762,-7.65738,-5.56155,61.326,53.92163,13.39117,-68.81188695,26.68593978,168.371197,72.25068015,265.7447089
1181.150436,71.79389,52.55722,106.68386,17.69562,145.92674,16.24621703,58.96483717,194.8195307,91.23140202,299.8004072
1184.989456,198.41527,41.84477,117.18634,75.42558,190.27965,243.8164427,205.3846593,288.0524023,163.8448933,340.2674301
1188.822834,140.56484,22.80012,146.9992,69.20811,98.03056,231.5498727,218.8821961,326.277099,163.5736943,319.3339934
1192.650579,29.07346,75.56925,130.92412,-35.84132,21.26653,59.055635,157.3060891,254.4265009,79.05095875,267.1122854
1196.472704,84.0798,74.95007,87.85505,19.23643,157.01519,60.91405558,180.631218,154.7912206,34.56821838,230.0439626
1200.289217,43.83526,34.31404,-34.73293,-6.84852,154.84373,108.0401131,146.7140276,89.69279535,36.28917186,167.9260312
1204.100132,-57.85398,-161.72602,-84.23303,-79.12028,-76.34736,22.98496117,3.826500363,31.93130561,-13.68935963,51.40617583
1207.905457,5.45487,-11.82084,35.1009,4.44409,-12.1779,-79.38317829,-51.08846714,-18.8703333,-82.09253933,-36.12361204
1211.705205,19.24816,-34.43723,11.44899,20.17322,111.16198,-53.8039978,-35.45512934,14.10595402,-40.88515372,-6.468656242
1215.499385,30.83247,-53.09103,-49.92294,11.64745,13.13042,174.7286501,117.5159245,136.456494,87.1386081,95.91895628
1219.28801,130.0595,73.03866,28.00537,14.42315,64.0771,304.627715,296.88412,203.4821766,130.4202247,146.8501893
1223.071088,28.23333,-20.93485,51.29287,31.79404,146.7397,54.97204903,113.2924341,149.6860905,47.8295296,100.7572785
1226.848633,-96.78049,18.94891,-7.35217,22.22456,25.34967,-65.85070607,-7.953641562,120.8813521,-6.629945289,29.42219131
1230.620654,83.92744,-21.00427,22.12048,-27.64131,14.25392,185.4296504,220.4475206,180.6761043,31.58746087,4.412817161
1234.387161,176.09442,154.56249,130.55051,98.58344,119.09033,211.5455466,222.4916022,191.9950882,48.21832054,23.8032608
1238.148167,13.57229,42.81856,39.22521,78.76095,110.25123,6.017197839,35.35202683,136.9337372,2.349859603,63.93670001
1241.903682,8.58039,1.27977,-20.50161,-46.48106,148.32337,37.01646928,134.8073782,151.3727149,-14.20023063,102.3979259
1245.653716,28.50453,148.9102,112.85329,29.67952,135.6678,124.2338184,266.0816406,215.516179,17.39788813,96.61155449
1249.398281,16.30977,40.12975,6.927,-15.82433,-4.13741,123.7437558,183.7880177,200.5722022,27.46168702,30.01816182
1253.137388,180.19794,108.58079,-32.75816,-20.93079,3.34915,186.6811504,165.9128242,129.9642582,1.460555891,-41.29480309
1256.871046,106.19634,38.31951,75.00417,54.44823,16.73576,123.2102888,95.63857234,116.6332969,-19.7170689,-44.48945933
1260.599268,-77.46091,-108.34271,13.39972,-30.16234,29.93735,-13.18145899,-22.1883657,185.8927674,5.216925467,28.75804427
1264.322064,88.12122,98.91247,151.67074,51.57733,190.75687,84.61181153,125.7903355,260.6690051,78.40462213,111.2728143
1268.039444,146.62043,133.99348,193.2519,179.63956,203.15935,164.3656239,180.9569383,234.8839431,114.1779898,126.7776954
1271.75142,0.88122,-2.72028,-3.73271,68.63545,125.66475,24.30378913,58.86729285,120.9311351,57.03652165,75.90853247
