Wavelength,HS_AAB_P4_750_5_5_H_S3_I1,HS_AAB_P4_750_5_5_H_S3_I2,HS_AAB_P4_750_5_5_H_S3_I3,HS_AAB_P4_750_5_5_H_S3_I4,HS_AAB_P4_750_5_5_H_S3_I5
1525.498505,-69.18350636,5.15301203,-91.90805068,-5.883733908,-1.411596442
1528.845529,-57.14391802,-5.196091764,19.78833256,-63.64757286,-4.13353792
1532.187965,4.405816753,33.73627705,92.01732263,-48.03435173,49.24457676
1535.525822,28.2822118,95.18219801,31.91373482,70.6538863,100.488398
1538.859112,120.3332251,161.5765876,158.0630849,136.3259258,134.0520633
1542.187846,95.08561701,206.7744463,123.4780635,79.774333,147.954128
1545.512036,101.3050544,212.2880649,3.509995078,27.78085783,145.6465329
1548.831693,4.30754731,190.9370953,-20.49962979,20.36539378,153.7193312
1552.146829,22.82432088,154.0057109,-13.05419647,8.925563034,166.3105306
1555.457453,19.55742288,106.697312,-19.67356712,-8.941207655,146.4468352
1558.763579,-12.86514063,85.98045736,-12.52946305,-40.63223202,117.0918432
1562.065216,9.651426355,123.6184391,-59.61863444,-36.08833657,141.8502199
1565.362377,92.42763199,186.1627945,32.63829585,22.22414013,206.9204779
1568.655073,123.0049834,226.9244022,42.89685888,23.10378347,239.4608438
1571.943315,24.23516162,253.943438,12.62270159,-13.93779752,235.0671617
1575.227114,232.3766608,283.5590063,58.21803661,30.98195167,246.5882358
