Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5,HS_AAB_P2_750_5_5_H_S3_I1,HS_AAB_P2_750_5_5_H_S3_I2,HS_AAB_P2_750_5_5_H_S3_I3,HS_AAB_P2_750_5_5_H_S3_I4,HS_AAB_P2_750_5_5_H_S3_I5
726.4277595,-38.14221231,98.66761413,33.66709172,19.14032561,48.4323246,-8.449600355,163.0016362,20.47150401,40.97498853,76.33525382,-61.9955224,16.90724497,-25.21922083,2.470116951,23.83188861,-74.16339415,-2.010028399,55.74995597,71.54857575,-15.2622441
730.9475271,15.99552122,42.38129545,-27.16909727,-3.560550826,-85.20015458,4.535332141,114.8958049,7.245867005,-15.41676567,-44.24951562,53.95363822,-36.00951906,-25.10660755,-23.51334562,45.65777805,45.90600511,-9.780778756,76.42962684,4.250699047,-9.162192514
735.4604456,-54.14612924,-91.81594808,-22.95546197,-52.52269079,-63.93232651,19.52514407,34.17420334,23.25039223,31.03431466,8.553124143,16.92101752,98.22692318,42.37629324,42.10037887,-7.709453275,108.0157384,-13.21196498,107.7463156,-14.13235031,-0.522004219
739.9665264,-15.47000263,-17.71460976,6.558849863,21.97634306,8.446635107,48.47479903,120.1011671,108.5901204,75.58527474,100.1613717,120.0590259,134.8963207,114.2118611,137.5029471,57.84560804,53.43123327,-4.220776098,107.2867537,17.96118318,8.898774286
744.4657813,46.66985996,76.99927606,19.30537877,-0.328789449,35.14492787,45.75212176,116.2242367,39.3696755,0.390303427,73.62816999,63.22406616,146.3300976,129.561958,142.4934141,54.0942009,75.61920015,19.68431098,117.6857481,67.68424541,31.77823435
748.9582215,39.75506394,-32.96329507,9.925164475,5.756732013,4.799107932,28.86706862,34.58245769,-7.602261121,-11.3684075,-2.139803988,18.45006065,133.5377892,50.81858103,49.8563213,51.9071084,82.27314866,31.35243833,132.4193417,97.5865831,40.70345826
753.4438587,5.029429639,-48.83151274,0.975092323,75.02599931,-13.57061112,-29.1946704,-71.76816566,-18.41224012,18.88139209,-5.183371145,-19.12476422,0.203770173,-58.84142109,-18.10729344,-27.89069176,7.901933613,5.950890234,117.9646358,91.27177098,15.61308051
757.9227042,-15.2836122,14.82302043,6.58170456,53.94436718,33.22675401,-41.24070366,61.97733807,-23.0807652,15.26999225,18.33155872,-97.47304421,18.500495,7.908134067,9.897395817,-134.4635351,-47.98881401,-33.74824793,69.09549395,57.17449215,-11.66783791
762.3947696,23.22273447,45.4496682,17.14001728,45.73786411,26.90076426,-3.492221514,14.93720347,18.62968976,-11.41137367,-14.79712179,85.94442105,19.20532383,87.42043381,65.59589919,156.2803108,-40.62954634,-29.98355755,11.55515562,20.49810382,-8.626421192
766.8600662,-46.34611139,-88.85053858,13.22377712,-36.31052629,-22.56835357,-29.79007151,-29.47198538,-52.7832197,-66.09099001,31.86240369,-52.24100538,-40.81924907,1.629838688,85.66877253,-22.32156168,6.937975082,23.31453893,2.533466456,7.17102464,9.776426434
771.3186056,-90.02935661,75.21938407,-10.08339632,-85.69257879,35.70108732,71.20256837,227.1435736,235.8091514,47.27981221,188.6714184,172.360947,125.659517,41.67363849,108.7671756,179.4375084,21.02088758,69.98039225,57.89680217,21.33921314,15.80532194
775.770399,-15.60204998,-39.47597762,-25.14506479,-4.810830232,64.1936807,167.0108467,150.2329748,21.42954851,99.92124341,172.1933266,56.01052971,199.6803587,141.9987295,156.6220931,115.6647355,74.69441966,84.99403506,148.8661187,41.13739339,8.314301036
