Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5
1594.837255,221.0729441,250.7170133,36.99425163,254.883375,176.4441511
1598.090275,23.94177293,163.3903311,-94.20592143,202.270827,112.6544963
1601.338945,174.6213872,247.6708857,42.57020955,229.0040142,123.2566604
1604.583274,244.1823868,124.327199,48.7070393,168.5983534,106.1432054
1607.823275,125.8138878,97.25075659,-50.052128,108.8593304,1.5588771
1611.058959,-23.44097559,24.02241733,-131.5995391,-13.48926856,-68.0279407
1614.290338,-100.6850998,-66.20432197,-134.3213177,-83.46545141,-46.75741241
1617.517422,3.307238848,163.8574666,113.2472838,0.035218473,23.0133677
1620.740224,33.57823343,176.5050836,38.55957993,32.56518838,65.40918475
1623.958755,46.13476843,154.0752857,46.09939802,17.63616495,27.28180036
1627.173027,83.76417124,196.379237,32.38681576,36.83006007,6.111714192
1630.38305,30.39807918,163.4585688,99.46330843,79.92014689,34.560096
1633.588838,-8.9364938,78.26208058,-24.36334491,33.45812726,1.51154076
1636.7904,74.25593635,3.94920174,22.43750988,-39.04830907,-21.85827731
1639.987749,97.20534291,167.6803926,48.67756118,37.99497031,34.2479994
1643.180896,-15.52430075,175.5565702,178.6586499,-1.372942292,34.56962581
1646.369853,-29.31958433,61.67593251,19.77428748,-29.81831699,-5.554494953
1649.554632,28.82698876,145.2829291,99.06045102,121.7219404,2.47320311
1652.735244,2.105721494,18.05006873,-12.31923781,48.18281478,-12.65773449
1655.9117,-54.4000727,-36.14804499,-88.53093933,-45.85242074,-32.65745298
1659.084013,36.9085079,91.62647165,55.41777422,17.13297098,7.92459615
1662.252193,71.14997043,15.3033528,131.0403109,-18.15720801,16.00983872
1665.416254,-30.1540098,13.10481497,-13.97938436,-27.92835248,-24.59238347
1668.576205,18.66812814,10.04377251,-1.788677531,44.93848529,13.16686592
1671.732059,71.84625983,77.26474623,149.3268268,93.57487478,108.1426157
1674.883828,26.7444287,155.3967197,98.87329627,62.70742594,128.2904231
1678.031523,34.24162573,30.56108902,13.02178141,-1.423400639,94.29114822
1681.175157,27.55417384,21.52701667,-14.85177093,-2.825401881,88.29368074
1684.314739,24.65071953,65.8332779,30.49425035,14.78251448,73.57569525
1687.450284,-0.241634711,-12.58972289,2.113341009,-11.83832148,14.26274916
1690.581801,-75.12311228,-60.14632152,-53.88080052,-72.37619843,-28.37954138
1693.709304,-4.884551005,52.00336135,-17.04364179,-30.00006681,5.776347817
1696.832803,69.0635742,14.43231213,58.33309654,46.3092441,90.15761366
1699.952311,66.92806257,21.08509456,63.87385291,38.51599859,135.9739165
1703.067839,-12.10074296,68.04876453,-17.74992173,13.758613,127.5203868
1706.179399,24.61658738,24.41097263,20.09302319,36.4950899,128.0721582
1709.287003,179.4918608,206.6666257,132.1631183,133.2524332,112.9030153
1712.390663,6.574528839,127.0013861,-9.016437126,93.26975857,47.35328926
1715.49039,16.52203604,63.37981492,-10.63164802,45.78336385,21.74570364
1718.586197,100.8496062,221.3213212,130.2108056,71.84152466,53.02553258
1721.678095,-18.56375208,115.4223863,-34.83821418,-17.68429599,31.23581873
1724.766096,61.31610592,-6.958749425,-37.00200793,-52.2315639,-42.1105403
1727.850213,-53.47757834,-58.87522279,7.921676635,-50.30146302,-45.69600685
1730.930456,21.81339571,104.4762487,40.61871552,83.19260654,27.89644403
1734.006838,166.5677636,184.8458814,201.7212132,143.6309122,63.05105635
1737.079372,-9.38435346,2.282668878,-45.23793439,-19.64747706,72.04464232
1740.148067,157.5585397,200.6503305,205.891487,106.0454197,117.2160442
1743.212938,134.5052864,178.7265395,158.7055731,149.7137691,108.1752469
1746.273996,2.959843777,13.72905358,28.09240027,13.91022466,19.68437157
1749.331252,93.08708524,78.46568614,-25.58496236,75.97377339,-34.99468841
1752.384718,-28.58601983,-26.80098662,-63.30841038,11.88784786,-6.826915474
1755.434408,18.10542726,107.2083702,62.33965244,-0.087318321,49.99517313
1758.480332,90.1566237,77.62803732,115.6179726,80.68993681,45.28035739
1761.522503,4.079508313,23.02535455,-12.56890156,-5.200161385,-6.456174405
1764.560933,6.568718281,114.4042015,55.35795013,26.6756632,-11.4656315
1767.595634,72.54312614,18.73798239,11.40940724,69.5998217,17.39376919
1770.626618,76.35979532,72.73784774,-26.19243108,-6.159866643,23.47085272
1773.653896,14.76161175,60.05560901,-22.55161121,6.727650491,7.737478248
1776.677482,20.41817558,18.69378032,-11.50407186,29.12019258,5.034145266
1779.697388,-8.89106637,80.93726974,4.446916278,58.4480455,31.86882546
1782.713625,27.19906294,123.3849645,36.7259283,73.73553959,23.02035278
1785.726205,33.96371116,107.6384161,28.88094535,-16.84130114,-26.02080432
