Wavelength RP,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5
1706.19969,26.26844,121.44952,138.95326,142.86204,36.01327
1709.30729,20.89137,35.78214,-3.25461,33.06899,-1.19601
1712.41095,101.25783,119.06661,37.60851,141.54022,25.97649
1715.51068,71.85692,31.55886,23.47766,157.94362,-3.9215
1718.60648,-5.47385,29.02561,0.97015,-8.36055,21.14729
1721.69838,35.03481,38.66651,129.12453,54.47718,69.52136
1724.78638,-6.30847,-76.52958,28.58425,84.18945,-47.25206
1727.8705,-41.99,-40.5892,-24.45988,-78.14984,-98.83355
1730.95074,8.66267,-26.85291,50.91507,-54.35502,5.65074
1734.02713,16.33449,-57.43914,-68.88512,91.195,77.79441
1737.09966,71.10283,99.04929,-75.97557,68.94294,30.49261
1740.16835,63.9177,16.6877,6.2911,-22.70999,-51.14495
1743.23323,-31.35459,22.9132,-29.56429,10.78589,-20.81422
1746.29428,25.20617,31.24395,7.8271,40.54133,15.75888
1749.35154,121.74598,10.96546,39.17989,36.03084,4.3283
1752.40501,127.18187,26.65783,28.74427,107.01678,42.18266
1755.4547,115.97942,7.35034,76.98923,92.64676,76.90652
1758.50062,100.59763,-76.5101,56.9101,23.43418,49.03863
1761.54279,151.50089,64.46664,82.98597,54.54167,32.57155
1764.58122,243.11196,47.79405,135.31517,79.62339,45.12945
1767.61592,145.41159,7.78398,19.65658,-1.0769,-10.80563
1770.6469,-39.18146,-0.37694,-33.39491,-49.50877,-31.03941
1773.67418,23.32532,-41.2795,34.7449,32.49917,1.12966
1776.69777,127.59191,-2.10434,33.99749,0.9162,-59.04766
1779.71768,9.81163,-109.19085,-56.19006,-88.84487,-52.52645
1782.73391,-56.29607,-64.23984,-124.59127,-45.01519,-2.143
1785.74649,35.80883,50.41869,-2.72883,24.76405,-35.66705
1788.75543,110.52612,70.25498,122.66739,143.27886,37.30074
1791.76073,133.08081,105.59718,61.33409,158.05457,122.37319
1794.76242,94.59507,51.80512,78.93265,31.9643,51.65849
1797.76049,25.86283,29.33474,49.42183,-13.74032,8.03067
1800.75497,14.982,43.23498,-56.13615,-13.82885,4.22721
1803.74587,16.39657,90.95785,43.96607,27.81282,-41.9314
1806.7332,-9.72453,-18.58783,4.63241,22.91843,-12.99475
1809.71697,3.23753,-70.02238,-63.14851,-35.67383,51.51656
1812.69719,-2.97018,106.10248,27.64052,16.99885,18.07767
1815.67388,-47.62276,-20.02276,17.20782,37.75728,-12.33312
1818.64704,2.45559,126.99126,85.24747,7.84787,43.49549
1821.6167,45.83267,167.60618,36.27965,25.84418,48.31122
1824.58286,-13.15951,-16.72674,-85.00212,-0.64409,-53.09317
1827.54553,-2.29338,49.87018,34.77978,-6.18793,-69.23301
1830.50474,23.41802,203.07737,60.32223,26.81417,18.31378
1833.46048,-23.18315,-11.51179,44.77797,-24.74252,-1.37114
1836.41277,-19.91883,-50.70444,13.40717,-80.85599,-53.77555
1839.36163,-37.63772,9.78177,-118.44397,-40.19565,15.01391
1842.30707,-40.57347,-22.71993,-39.48897,66.97466,91.88575
1845.2491,39.81106,140.28107,36.97919,116.90791,76.75317
1848.18773,37.31909,-31.73043,-18.07519,40.43126,25.79798
1851.12297,20.69269,47.25813,22.03275,19.89482,21.87876
1854.05484,11.80609,45.53948,-19.35532,44.16267,19.91947
1856.98335,-42.01842,-7.4643,-50.19316,-30.7604,-27.62803
1859.90851,-3.51197,102.87562,53.00339,-12.72732,-44.2772
1862.83034,39.77837,3.40415,41.85662,103.54962,23.23467
1865.74884,5.46579,128.13152,15.0255,83.35262,97.11483
1868.66404,-13.28618,65.23477,9.36035,-25.7596,70.0572
1871.57594,-5.11899,-10.02934,-26.3198,-21.98665,43.02641
1874.48455,7.50722,8.36432,-0.23837,54.25638,37.67876
1877.38989,12.60912,-63.36847,4.24272,38.2265,-32.36672
1880.29197,21.2807,91.86524,38.75542,14.03388,-25.44111
1883.1908,-5.16754,15.17312,19.60375,-11.94143,36.01282
1886.0864,-49.62529,29.63078,-56.29037,-62.50844,-13.56754
1888.97877,-19.99577,-37.06231,-8.78853,6.33772,-65.67299
1891.86794,10.49993,-28.92162,-33.38077,44.54572,-31.75523
1894.75391,-20.93197,4.13191,-61.65332,-46.9049,-16.22752
1897.6367,-16.98389,-94.57475,14.14234,-1.30602,43.90603
1900.51632,33.76271,68.2309,30.07452,95.67886,107.13008
1903.39278,58.52648,49.55411,43.12408,1.35346,25.98832
1906.26609,40.94291,120.5263,12.86354,12.47106,28.96436
1909.13627,-14.03625,98.81897,-38.74277,136.98601,65.25199
1912.00334,30.26682,-20.5148,52.77967,94.31039,17.72661
1914.86729,153.15585,62.98725,53.23462,46.4593,24.62707
1917.72815,67.83852,-76.89761,-81.06603,0.92428,-35.13075
1920.58593,-29.1849,-23.79195,-43.72513,-53.43487,-32.68909
1923.44065,108.61103,26.26915,19.43064,-15.73578,38.88254
1926.2923,159.43704,15.50752,-8.91064,36.76681,-0.89036
1929.14092,91.55939,92.90144,16.92605,108.16626,77.67431
1931.9865,104.93943,-12.56921,36.38922,105.03539,178.16781
1934.82907,32.64072,38.0099,25.03966,-2.46113,101.95388
1937.66864,-84.42699,-16.30854,7.77761,-37.97255,14.95569
1940.50521,9.27651,-27.03906,-45.45752,-9.0275,-26.2331
1943.33881,118.98342,43.88059,-38.48263,1.96336,-13.4076
1946.16945,39.10582,-13.29605,37.48163,11.85916,89.99809
1948.99713,4.62176,1.66871,22.69638,46.44456,159.85631
1951.82187,57.54847,59.11907,-15.35136,71.77954,99.66513
1954.64369,14.76237,-18.08165,-7.99142,3.22129,26.04359
1957.4626,-17.29284,-27.95263,-4.91286,-58.42496,-6.7512
