Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4,AAB_AS_S1_I17
471.7887204,116.3779371,55.45927167,21.44421634,55.58970549
472.9002631,118.0999047,46.86277288,33.21268642,56.77145704
474.0116036,117.9962543,39.67507434,43.35688827,47.35923419
475.1227418,116.2465995,35.98153129,55.54270927,40.99274081
476.2336778,113.1352707,35.52681071,64.80291705,51.14973708
477.3444117,109.0215951,36.17118907,70.7447539,62.34814817
478.4549434,104.3044725,36.36154231,67.43806598,66.22281894
479.5652732,99.38024568,36.61889599,70.11,69.11841122
480.6754009,94.59648288,38.19848396,66.21611897,71.20484768
481.7853267,90.21123287,41.09840773,61.83073539,74.01172153
482.8950506,86.36832215,44.02924878,59.25719207,78.02062857
484.0045727,83.09318657,45.81147615,46.95794532,75.46631823
485.1138929,80.30728242,46.30058519,41.77874736,68.88142111
486.2230114,77.85659546,46.22,37.55271634,69.7647
487.3319282,75.54993743,46.39,38.93,70.87620034
488.4406434,73.20209631,46.93644612,45.30549065,66.54389353
489.549157,70.67421693,47.17716009,40.46,64.59834599
490.657469,67.90200081,46.47063839,32.22936572,59.91963401
491.7655795,64.90512825,44.97932612,22.62892984,50.51591465
492.8734885,61.77790378,43.42383613,8.719255452,43.47585278
493.9811962,58.66732079,42.06159533,-3.61,40.64877414
495.0887025,55.74817374,40.06827731,8.1,42.26523165
496.1960075,53.2040356,36.25049329,8.005177023,40.10071089
497.3031112,51.21702449,30.62039066,-6.5,30.48684546
498.4100137,49.96375584,24.95047457,11.43689307,20.92023767
499.5167151,49.61500009,21.33026575,17.13491518,13.05770371
500.6232154,50.33740606,20.24056486,13.47713371,10.87096036
501.7295146,52.29316701,20.29779605,19.87989076,15.4834788
502.8356128,55.63243597,19.83461196,15.47196699,18.37685749
503.94151,60.47552851,18.43157468,9.237693682,20.85546683
505.0472063,66.88535744,16.80046912,10.32447064,24.27917787
506.1527018,74.83576571,15.65939223,17.12982731,24.00896842
507.2579964,84.18624447,15.34809453,15.37015456,23.71775225
508.3630903,94.67226385,16.39241396,12.58689451,23.33820515
509.4679835,105.9141707,19.58253229,10.01718881,23.40936789
510.572676,117.4428379,25.05622091,8.488640381,30.9276536
511.6771678,128.7386628,31.57209239,16.21190223,41.04210564
512.7814591,139.2789833,36.93,16.97676207,46.97631861
513.8855499,148.5866804,39.24623844,19.315682,49.72642164
514.9894402,156.271531,38.40975514,18.29497377,51.76590023
516.0931301,162.0566855,36.49012649,3.81,55.35235479
517.1966197,165.786485,36.23830273,5.423271433,60.73600092
518.2999088,167.4191435,38.66232934,11.52108354,67.90047362
519.4029978,167.0129338,42.19239646,5.783667688,71.02210425
520.5058864,164.7113878,44.18453973,14.86784656,66.67900544
521.6085749,160.7261495,43.08514015,15.58368228,60.25362349
522.7110633,155.3137163,39.41583543,-0.87,51.85117316
523.8133516,148.7458187,35.07244469,5.850493889,47.68746955
524.9154399,141.279517,31.85077987,12.4409341,53.30663587
526.0173282,133.1366037,30.73343878,8.658528606,55.72935483
527.1190165,124.4979565,32.28484292,8.154964575,50.68176833
528.2205049,115.5114782,36.84403545,5.57,46.35849874
529.3217936,106.3094413,43.65612968,13.65839699,45.22586723
530.4228824,97.03118695,50.23178798,22.78494276,43.72235827
531.5237715,87.84537428,53.61818989,23.14125637,38.04045016
532.6244609,78.9635497,52.70151398,26.04876662,32.23091159
533.7249506,70.63798246,49.03413383,23.9561069,27.41604462
534.8252408,63.14215048,45.36199375,11.62012101,22.57413288
535.9253314,56.73937105,43.40907338,9.54,25.17657322
537.0252225,51.64956331,42.9013751,11.3899843,32.34204207
538.1249141,48.02231667,42.43291235,5.945163048,30.89501837
539.2244064,45.91882628,41.19442217,7.318039658,23.19707212
540.3236993,45.30205926,40.13800744,2.489418067,22.71427841
541.4227929,46.03468562,41.61505486,-10.8,29.09172761
542.5216873,47.88538225,47.49949715,-1.91,31.99997966
543.6203824,50.54589814,57.38490866,12.17609492,28.79246409
544.7188784,53.66169737,68.63864628,17.55164011,23.7320389
545.8171752,56.8746587,78.01524344,24.28808915,19.72094751
546.915273,59.8705372,83.24131044,29.76609248,15.95325656
548.0131718,62.42205193,83.83359125,31.24912681,14.32763963
549.1108717,64.41984763,81.13119777,21.28308394,14.3077133
550.2083726,65.88675139,77.52193666,25.02513282,12.59875538
551.3056746,66.97537737,75.26541783,13.45232005,13.95055378
552.4027778,67.95171453,75.62447208,-1.92,16.73947173
553.4996823,69.16718989,78.40292013,13.03899561,15.60445786
554.596388,71.02324133,81.89,11.09674705,15.64714019
555.6928951,73.93502382,83.76055836,19.36217431,16.76042387
556.7892035,78.29952633,82.6111819,22.85533532,16.77333532
557.8853133,84.4687503,78.87114806,12.26035543,20.49533729
558.9812246,92.72513818,74.32765816,27.15106456,26.74943546
560.0769375,103.2560221,71.42742541,25.30893388,30.86856975
561.1724519,116.126996,72.94386641,16.73914837,34.66495027
562.2677679,131.2592701,81.27,26.92832888,40.62780347
563.3628856,148.4175137,97.02490983,23.64648805,44.07083678
564.4578049,167.2109659,118.1142763,23.48950263,40.07868689
565.5525261,187.108006,140.3057975,39.69094906,36.3218978
566.647049,207.4643368,159.6550584,39.25689923,41.18060767
567.7413738,227.562567,175.2677484,35.3590958,44.9991418
568.8355005,246.657374,189.8515077,49.06568774,40.31381945
569.9294292,264.0207902,206.8,52.90433347,36.74696435
571.0231598,278.9864353,226.2269626,62.15582532,39.69432298
572.1166925,290.9945246,244.1588956,75.12,45.09759686
573.2100273,299.6362059,255.9810169,66.11702209,46.35670267
