Wavelength,HS_V2S1_AAB_C4_S5_I2,HS_V2S1_AAB_C4_S5_I3
779.5375716,23.37496334,25.8853428
780.5934014,25.0431371,29.9427775
781.6490423,26.38937307,34.2707665
782.7044945,27.14008341,39.0628652
783.7597579,27.11981616,44.39550979
784.8148327,26.26602895,50.16240988
785.8697187,24.63096688,56.06243864
786.9244161,22.36555507,61.68760351
787.978925,19.69004409,66.67847219
789.0332454,16.86569208,70.87594357
790.0873772,14.16168629,74.4159234
791.1413206,11.81139908,77.72461166
792.1950757,9.962801865,81.38314374
793.2486423,8.645956024,85.88035552
794.3020207,7.780752994,91.37435374
795.3552108,7.227923224,97.63163021
796.4082127,6.863089708,104.1952319
797.4610265,6.642807673,110.6484276
798.5136521,6.64310621,116.7773776
799.5660896,7.072319585,122.5756183
800.6183391,8.26809003,128.2370907
801.6704006,10.67513831,134.2609398
802.7222742,14.78482058,141.5273831
803.7739599,21.02663857,151.0849293
804.8254577,29.63479576,163.6403593
805.8767677,40.53538499,179.091995
806.9278899,53.29336271,196.4469161
807.9788245,67.13291249,214.0914249
809.0295713,81.02751111,230.1441526
810.0801305,93.84919543,242.7676362
811.1305021,104.5520102,250.4922424
812.1806862,112.347045,252.556226
813.2306828,116.825913,249.1644468
814.2804919,118.0044065,241.5686919
815.3301136,116.2764053,231.8822539
816.379548,112.2886488,222.5325812
817.428795,106.7692323,215.4190759
818.4778548,100.3628175,211.1635424
819.5267273,93.52463825,208.9204544
820.5754126,86.50012425,206.8827126
821.6239108,79.38633889,203.1956438
822.6722219,72.24165398,196.7915233
823.720346,65.19146558,187.7476849
824.768283,58.48320051,177.0791522
825.8160331,52.46953781,166.1929918
826.8635963,47.52683287,156.3439109
827.9109725,43.93306099,148.314453
828.958162,41.74468685,142.3312903
830.0051647,40.71707229,138.0908711
831.0519806,40.30567257,134.7841524
832.0986098,39.75937108,131.1206576
833.1450524,38.28704589,125.475678
834.1913083,35.25870329,116.3137554
835.2373777,30.38897715,102.830013
836.2832606,23.84283832,85.46149627
837.328957,16.22823782,65.95040893
838.3744669,8.47964606,46.94785667
839.4197905,1.666130881,31.32224658
840.4649277,-3.229747165,21.32425823
841.5098787,-5.509883682,17.83333365
842.5546433,-4.88341901,20.04409107
843.5992218,-1.480230709,25.82610664
844.6436141,4.24446588,32.6147791
845.6878203,11.67779719,38.39716788
846.7318404,20.22707945,42.3088562
847.7756744,29.44485601,44.58266961
848.8193225,39.07127113,46.01811202
849.8627846,49.00741926,47.41389992
850.9060608,59.24894005,49.26729235
851.9491512,69.79812009,51.73648506
852.9920557,80.57081738,54.7258281
854.0347745,91.33396344,57.98394797
855.0773075,101.7070269,61.1509376
856.1196549,111.2298611,63.76172472
857.1618166,119.4662402,65.31685991
858.2037927,126.1027999,65.50792483
859.2455833,131.0129571,64.4913337
860.2871883,134.2736168,62.96915553
861.3286079,136.1429926,61.95933363
862.3698421,137.0233398,62.40686121
863.4108909,137.4179505,64.88840365
864.4517544,137.8734465,69.51718676
865.4924326,138.9047545,75.99623293
866.5329255,140.9241379,83.75595685
867.5732333,144.2009595,92.14988212
868.6133559,148.8560033,100.6476188
869.6532933,154.8719773,108.940271
870.6930457,162.1037537,116.9539149
871.7326131,170.2891308,124.8364039
872.7719955,179.0703158,132.937708
873.811193,188.0291532,141.7272134
874.8502055,196.7273356,151.6069558
875.8890333,204.7400712,162.7033169
876.9276762,211.679528,174.8114728
877.9661343,217.2151417,187.5541678
879.0044077,221.0997968,200.5957935
880.0424965,223.2004338,213.7192773
881.0804006,223.5199712,226.7398595
882.1181201,222.1970069,239.3655937
883.1556551,219.4811934,251.1321583
884.1930056,215.6934307,261.4463021
885.2301717,211.1807431,269.6434905
886.2671533,206.2735148,275.0142656
887.3039505,201.2539716,276.9288344
888.3405634,196.3372523,275.1173715
889.3769921,191.6529097,269.869447
890.4132365,187.2190349,261.8840502
891.4492967,182.9219087,251.8529059
892.4851727,178.5217632,240.1350434
893.5208646,173.6873406,226.7376067
894.5563725,168.0411268,211.5175407
895.5916964,161.2015525,194.4386609
896.6268362,152.8288525,175.7674104
897.6617922,142.6828936,156.0936345
898.6965642,130.6829988,136.1545719
899.7311524,116.9549303,116.6267066
900.7655568,101.8539986,98.06726175
901.7997774,85.95671222,80.99253082
902.8338143,70.01866737,65.94312117
903.8676675,54.90889635,53.46795039
904.9013371,41.53181889,44.07215251
905.9348231,30.73470427,38.13605241
906.9681256,23.20002953,35.814649
908.0012446,19.34279616,37.02059152
909.0341801,19.23949024,41.48999368
910.0669322,22.6037135,48.79159056
911.0995009,28.82008628,58.3101214
912.1318863,37.0425232,69.36977329
913.1640883,46.33158765,81.42888606
914.1961072,55.77845776,94.09383471
915.2279429,64.58022164,106.9083629
916.2595954,72.07118589,119.1399176
917.2910647,77.73297896,129.7744933
918.3223511,81.19850757,137.7496086
919.3534543,82.25411182,142.2858438
920.3843747,80.83917105,143.1059256
921.415112,77.0440293,140.4068344
922.4456665,71.10091515,134.6281491
923.4760381,63.36143523,126.2115925
924.5062269,54.27187581,115.5443819
925.5362329,44.35594195,103.0925664
926.5660562,34.19968487,89.56607361
927.5956968,24.42378572,76.00176483
928.6251548,15.6361103,63.72487824
929.6544302,8.367882325,54.10596315
930.683523,3.009014691,48.12529103
931.7124333,-0.228946819,46.04304845
932.7411612,-1.303737963,47.4698291
933.7697066,-0.304045584,51.71804469
934.7980697,2.583740212,58.09590787
935.8262504,7.089651,66.01843595
936.8542488,12.86459275,75.00840125
937.8820649,19.48911013,84.66752485
938.9096989,26.49573065,94.68044365
939.9371506,33.40620442,104.8625329
940.9644203,39.77418496,115.1558075
941.9915079,45.21796766,125.4593048
943.0184134,49.4365615,135.3421188
944.0451369,52.21798867,143.8705967
945.0716785,53.44934045,149.7576124
946.0980382,53.12887581,151.8243759
947.124216,51.37146649,149.5335979
948.1502119,48.39395758,143.2858355
949.1760261,44.48187039,134.3322021
950.2016586,39.94299334,124.359939
951.2271093,35.06237479,114.9043983
952.2523784,30.08053158,106.8351714
953.2774659,25.2133487,100.2278799
954.3023718,20.70710594,94.74599602
955.3270962,16.88837713,90.26624554
956.3516391,14.15927559,87.24894275
957.3760006,12.91807477,86.53586114
958.4001806,13.43523631,88.74910679
959.4241793,15.74983137,93.83076877
960.4479967,19.63998621,101.0766165
961.4716329,24.67403631,109.4910874
962.4950878,30.31388817,118.126575
963.5183615,36.03531745,126.3411004
964.541454,41.42991594,134.0023943
965.5643655,46.25547949,141.4500212
