Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4
818.4673567,262.8363839,216.7071839,0.30
819.5164165,259.6292748,222.09,14.87490513
820.565289,255.3554092,225.3140078,23.32454293
821.6139743,250.0807919,222.367318,40.38834867
822.6624725,243.8267933,212.872559,51.58508054
823.7107836,236.5869689,199.7297317,67.66
824.7589077,228.3445404,186.6722364,74.38020545
825.8068447,219.0876433,176.0219589,63.00896827
826.8545948,208.8195196,167.651247,71.52432041
827.902158,197.5620459,159.4590228,77.055134
828.9495342,185.3546646,149.2100027,79.93
829.9967237,172.2534059,136.4462729,79.14320695
831.0437263,158.333118,123.0472415,75.75456298
832.0905423,143.6923072,112.0765797,73.69371119
833.1371715,128.4595652,105.4422271,66.62078499
834.1836141,112.8046983,101.9117058,88.15063113
835.22987,96.95843131,97.58879773,105.0956035
836.2759394,81.23481519,88.89806654,92.32835657
837.3218223,66.03908815,75.24953714,81.58
838.3675187,51.84538535,59.18652248,68.13576975
839.4130286,39.14339528,44.67016204,52.73556198
840.4583522,28.36755838,35.14469376,34.86032899
841.5034894,19.82863661,32.18901896,28.65503664
842.5484404,13.66647468,34.89711005,47.19851607
843.593205,9.836629973,40.09052667,52.24984496
844.6377835,8.133168886,43.43,58.74232149
845.6821758,8.238169833,41.46407058,82.21288253
846.726382,9.780179816,33.91451651,81.29574242
847.770402,12.38309113,24.3655329,72.97694095
848.8142361,15.69464027,17.76388823,86.7116109
849.8578842,19.39587807,16.81713428,85.51491359
850.9013463,23.2016458,20.84518985,82.94388088
851.9446225,26.86208578,27.55954389,89.13731771
852.9877128,30.16896107,35.0312321,83.65830117
854.0306174,32.96532318,41.98948791,97.42265706
855.0733362,35.1557475,47.468948,96.07246257
856.1158692,36.71390148,51.17115132,88.67210747
857.1582166,37.68431782,53.76405194,89.94577424
858.2003783,38.17782357,55.91890877,91.65872406
859.2423544,38.36219407,57.00,118.0283685
860.284145,38.4481447,55.31,112.5611866
861.32575,38.66892309,49.94911238,101.8484496
862.3671696,39.25472339,42.15352118,110.8215682
863.4084038,40.40870567,34.80025168,99.35876053
864.4494526,42.2922175,30.46705522,95.99882435
865.4903161,45.02093453,29.79320608,96.66484538
866.5309943,48.66765774,31.3157608,103.0040796
867.5714872,53.26608946,32.60,112.0974872
868.611795,58.81206552,31.6839157,96.22629459
869.6519176,65.26182372,28.09503787,91.76308292
870.691855,72.52938945,23.00358349,87.89027211
871.7316074,80.48689901,18.52975859,75.47232952
872.7711748,88.97201398,16.28430017,82.0350331
873.8105572,97.80368285,16.07104219,86.63777789
874.8497547,106.8024303,16.03427277,79.01739359
875.8887672,115.8088393,14.32861957,63.89829781
876.9275949,124.6958646,10.79897238,61.36531316
877.9662379,133.3735889,7.248677407,65.29214683
879.004696,141.7854784,6.280841233,61.71921532
880.0429694,149.8949911,9.669519055,60.8057498
881.0810582,157.6650642,17.3711976,63.10161971
882.1189623,165.0387945,27.56532988,60.95292703
883.1566818,171.9302414,37.41,64.23615905
884.1942168,178.2274632,44.49870192,73.48035247
885.2315673,183.8018579,48.58344097,52.65064138
886.2687333,188.5163404,51.90530582,41.84712453
