Wavelength,HS_V3S1_AAB_C2_S1_I1,HS_V3S1_AAB_C2_S1_I2,HS_V3S1_AAB_C2_S1_I1
590.727924,9.436411147,28.2249926,24.57300495
591.8177047,2.418538005,30.82641772,14.52186066
592.9072884,-1.979441876,31.97985575,7.422861615
593.9966751,-3.088810432,33.50683024,7.998067798
595.085865,-0.234378894,36.66908414,16.37461938
596.1748579,6.210490176,40.17382517,26.29448372
597.2636541,13.35426639,43.54163697,29.85327092
598.3522535,19.12216333,47.99076107,25.84920359
599.4406563,20.17310008,52.29574962,20.08940676
600.5288623,17.39328009,53.7333654,17.40509706
601.6168717,16.5400604,53.07541652,17.23543851
602.7046846,17.9091028,53.38257031,16.98097971
603.7923009,19.57605937,55.47564941,15.93038567
604.8797208,22.70981578,57.7740029,13.96258533
605.9669443,25.09041359,58.323646,9.820522661
607.0539713,24.11599617,56.41306317,3.968885969
608.1408021,22.89506097,54.018335,-0.294845637
609.2274365,22.30197328,53.86122299,-1.233684934
610.3138748,20.38761636,55.41678384,0.626484661
611.4001168,19.92694399,55.71317937,7.30442497
612.4861627,22.69426558,53.23212123,21.67051933
613.5720125,24.81694652,48.82317936,39.92982281
614.6576662,23.09339577,44.47743795,53.80947751
615.743124,18.10464802,41.78250355,61.49916143
616.8283858,13.14578131,40.2381419,69.32263484
617.9134517,11.78215016,38.10040507,81.14825601
618.9983217,12.88336818,35.22629464,92.54815331
620.082996,12.76801589,33.17808309,98.12738467
621.1674744,12.72278321,32.47535176,98.79798309
622.2517572,14.27906631,31.90362256,98.26132497
623.3358443,15.17279539,30.64664548,97.68217043
624.4197358,15.08753367,28.54676517,96.28407742
625.5034317,13.01503234,24.79499305,92.89586944
626.586932,8.901414584,19.53789601,86.66980773
627.6702369,9.193007501,15.47382868,78.47488078
628.7533464,14.90971016,14.97682511,69.8878607
629.8362605,18.33155162,16.8063023,60.19459441
630.9189792,17.94504004,17.74543355,47.10462654
632.0015027,18.32028255,16.93562381,32.0326609
633.0838309,19.39804734,16.50873706,21.62767587
634.1659639,20.29536761,18.00066583,20.20553277
635.2479018,22.54620629,20.18739723,23.53564738
636.3296446,23.73375211,20.82539104,25.37525064
637.4111923,23.48130457,19.72688047,26.04282349
638.492545,25.177902,19.26359151,27.72921769
639.5737027,23.6581185,21.28238339,27.61024729
640.6546656,17.17478259,24.75322661,24.35823956
641.7354335,16.44870183,27.28797907,23.6802093
642.8160067,20.08750998,27.81957666,28.95377998
643.8963851,16.50523625,27.13950915,34.99399373
644.9765687,8.213185025,26.26297301,37.15772138
646.0565577,3.776761301,24.99134949,38.87979608
647.136352,5.107336839,22.61542601,45.86508116
648.2159518,10.43283178,19.52963863,56.98971405
649.295357,15.96928985,16.90989412,64.96292834
650.3745677,17.88878255,14.86498925,65.57166407
651.453584,16.08947173,12.76782847,62.51914604
652.5324059,16.40853913,11.22478118,62.03697483
653.6110335,22.19614082,10.81796979,66.00956888
654.6894667,27.63359084,9.656421495,71.31721231
655.7677057,28.99682841,5.803470188,73.38225937
656.8457504,29.17482546,0.934411581,70.7639938
657.923601,30.36721372,-1.762266817,68.23611754
659.0012575,30.9603283,-1.783745119,71.49509468
660.07872,29.03214497,-0.86140974,77.67587198
