Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
992.0966357,30.27701939,21.37594551
993.1146734,32.19450737,23.3926101
994.1325312,34.64121289,20.66104222
995.1502092,38.75619634,15.88372019
996.1677073,41.82734818,12.45902669
997.1850256,43.25995942,11.77887966
998.2021641,40.22533849,13.29970292
999.219123,34.22108239,16.41991214
1000.235902,31.61714706,21.03571135
1001.252502,29.92776148,26.83073578
1002.268922,27.47207284,34.28885221
1003.285162,31.75064911,45.70098213
1004.301223,40.14283825,62.84549089
1005.317105,44.65769027,84.27019051
1006.332807,49.47011641,105.8789119
1007.348329,54.11154177,123.915115
1008.363673,50.23772585,138.042562
1009.378837,47.13895917,151.5013893
1010.393822,54.75486288,167.0463486
1011.408627,59.12381173,184.6879409
1012.423254,61.83137137,204.5399984
1013.437701,87.91361858,226.1490551
1014.45197,125.2590946,243.420458
1015.466059,136.969703,247.9515531
1016.479969,129.784981,238.762685
1017.4937,132.3716099,222.9442641
1018.507253,141.5726247,207.8800946
1019.520626,146.8492725,196.7204454
1020.533821,156.4960186,188.5891312
1021.546837,169.5590716,180.4757333
1022.559674,176.4357597,170.6034941
1023.572333,187.6142517,159.6849838
1024.584812,208.3102114,147.9928987
1025.597114,218.7264854,135.2473424
1026.609236,218.6888871,124.2412992
1027.62118,227.132991,117.8310162
1028.632946,233.5712394,111.8461764
1029.644533,221.2671421,98.38180573
1030.655942,202.1896626,76.50131274
1031.667172,185.5063986,54.57647111
1032.678224,169.068281,41.45707486
1033.689098,160.3077558,37.58645208
1034.699793,156.1042304,36.65905219
1035.710311,142.9148563,35.16130966
1036.72065,129.8095583,34.92477281
1037.730811,123.4420012,35.61590593
1038.740794,102.4347718,33.05186077
1039.750599,66.22317579,27.2483918
1040.760225,46.65412685,23.85974471
1041.769674,48.47341046,25.85003752
1042.778945,48.8189387,30.74493858
1043.788039,45.09578213,35.96405563
1044.796954,44.70606603,40.27747888
1045.805692,41.02788542,41.58337197
1046.814251,32.4531528,38.93605
1047.822633,29.07494022,35.02666587
1048.830838,31.92615677,33.441732
1049.838865,33.92687997,35.37256086
1050.846714,36.38408823,39.14826169
1051.854386,41.90391248,40.60848013
1052.86188,46.64951469,36.13583572
1053.869197,54.4731151,27.89228405
1054.876336,72.84841384,22.8882469
1055.883298,97.68274031,24.74042608
1056.890082,124.3108058,29.27533034
1057.89669,152.4057274,30.8409753
1058.90312,179.0295906,31.36916035
1059.909373,210.1020162,39.30410863
1060.915448,258.999259,59.2156925
1061.921347,323.0138421,86.80230559
1062.927068,385.8572105,115.346398
1063.932613,444.2625984,142.7925262
1064.93798,507.1939163,170.3564269
1065.943171,572.7070866,198.0260053
1066.948184,630.5214224,224.8849672
1067.953021,675.3513815,251.0725458
1068.957681,707.6687515,276.2294229
1069.962164,732.0812405,297.9680538
1070.96647,745.5660502,313.4321176
1071.9706,741.1277989,321.0502985
1072.974553,724.5034942,320.147838
1073.978329,694.9748063,310.1624793
1074.981929,642.3558877,292.3161438
1075.985352,580.7061602,270.9468987
1076.988598,528.5328281,249.4819653
1077.991668,470.6433752,226.1000185
1078.994562,391.4361364,197.1233961
1079.99728,305.8193747,163.2643938
1080.99982,229.1333554,129.8381378
1082.002185,164.5615641,102.6885471
1083.004374,116.3650589,84.44703218
1084.006386,80.03633955,72.75594251
1085.008222,47.86922696,63.03768073
1086.009882,23.81727199,53.32155586
1087.011365,5.896273133,44.91950177
1088.012673,-8.551025158,40.05199085
1089.013805,-6.55446794,39.78877641
1090.01476,11.73204404,42.69188659
1091.01554,27.44307687,45.70073192
1092.016144,34.51975452,46.58603154
1093.016572,40.78571285,44.92111992
1094.016824,50.12595099,41.74580754
1095.016901,57.93201157,39.29198791
1096.016801,62.09390796,40.16663575
1097.016526,67.74164384,44.76241264
1098.016076,72.17486416,49.39423819
1099.015449,68.17224381,49.46074375
1100.014648,60.5514266,44.38406865
1101.01367,52.71722915,37.35840797
1102.012517,39.31615206,32.26286517
1103.011189,27.56206619,33.04101471
1104.009685,29.36397091,42.71742461
1105.008006,38.07726161,60.12262221
1106.006152,44.67849471,79.9613524
1107.004122,49.43422863,97.35648306
1108.001917,49.00010467,110.660371
1108.999537,42.9319089,120.683895
1109.996982,38.11553065,129.6322808
1110.994251,36.6092106,139.9426805
1111.991346,38.68987702,151.1300647
1112.988265,42.55558865,158.1862841
1113.98501,39.0419842,156.8886189
1114.981579,28.02028838,150.3243042
1115.977974,18.72603735,145.734085
1116.974193,12.29441081,145.528693
1117.970238,8.247381848,145.7177441
1118.966108,6.816855907,142.055007
1119.961804,4.96047627,133.5543795
1120.957324,9.75621183,120.4426822
1121.95267,29.78836716,103.3722287
1122.947841,59.95468252,86.97863569
1123.942838,99.1986681,80.28874908
1124.93766,154.1547816,89.15095628
1125.932308,224.7141898,110.2850496
1126.926781,309.0033297,135.6737329
1127.921079,401.771038,160.5497572
1128.915204,494.0366809,185.916772
1129.909154,592.9647999,215.7856142
1130.902929,709.6615541,252.0723256
1131.896531,830.6133256,291.4802869
1132.889958,937.8176395,329.5909152
1133.883211,1034.687355,366.9224814
1134.876289,1128.059073,405.6429109
1135.869194,1212.21439,441.7188377
1136.861924,1279.930361,467.8114956
1137.854481,1327.109904,483.1829002
1138.846864,1350.004792,492.7932728
1139.839072,1351.017081,496.4546757
1140.831107,1336.946604,486.2823821
1141.822968,1305.861473,457.433919
1142.814655,1251.519069,417.0806069
1143.806168,1187.643549,378.9659871
1144.797507,1137.180308,349.3914624
1145.788673,1087.418708,321.9266782
1146.779665,1007.25901,288.3103524
1147.770483,907.0990117,250.1509681
1148.761128,820.5862833,214.0894236
1149.751599,749.3125707,179.9342982
1150.741897,672.9738646,142.2609336
1151.732021,586.6804194,101.7214298
1152.721972,504.1739037,67.05298368
1153.71175,437.4306853,45.72827799
1154.701354,385.5424644,37.31267669
1155.690785,341.3532872,36.47474953
1156.680042,299.5275388,39.72948875
1157.669126,261.9786572,47.8917076
1158.658037,233.6010929,62.47878959
1159.646775,213.6123038,81.98686889
1160.63534,200.8241817,102.3075925
1161.623732,190.2591246,118.3479254
1162.611951,171.5239797,126.0437655
1163.599996,148.7052853,125.3878491
1164.587869,131.582434,120.6661916
1165.575569,114.6332143,117.6959742
1166.563096,96.63999724,121.4280111
