Wavelength,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3
728.6347772,4.718508319,-8.247142956,56.65546724
729.6997246,8.323786924,-4.122655994,66.91141294
730.764481,13.64203104,-1.814143917,67.32013956
731.8290465,16.76299283,-2.698200892,78.2984026
732.893421,12.80889465,-5.615959762,72.54723524
733.9576046,4.23874453,-6.845154089,62.68387049
735.0215973,-1.065982438,-3.356604798,67.1620987
736.0853993,-1.327589183,3.640740063,55.77753575
737.1490106,0.343852579,11.2660731,56.17102383
738.2124311,3.340328197,18.35423366,64.95635707
739.275661,7.275056985,23.70944046,66.98787537
740.3387003,8.859819353,24.40239946,63.95886281
741.401549,7.017814243,19.4044772,51.30946011
742.4642072,7.731091522,13.79934203,38.58549466
743.5266749,16.79826135,14.23878117,29.39156716
744.5889522,28.36521341,19.94151951,35.71513722
745.6510392,31.28886639,24.86010426,36.74463134
746.7129358,25.83590621,27.13934502,28.72869234
747.7746421,21.42297996,28.55517372,33.63499915
748.8361581,22.2974619,29.10796539,25.05797681
749.897484,26.05770393,28.94727486,16.66885326
750.9586197,30.26960667,30.10312366,19.1300498
752.0195653,36.29843779,33.45250321,10.87221497
753.0803208,47.57221331,38.7697972,5.770270845
754.1408863,62.4359311,46.93273378,14.01913591
755.2012619,74.53056579,57.79232512,18.38340531
756.2614475,80.59888314,67.50255736,20.48963038
757.3214432,81.79759449,72.81386423,21.78864318
758.3812492,82.71670299,76.8176267,7.388685048
759.4408653,88.08442421,84.15247274,14.30395518
760.5002916,95.2974126,92.61047824,27.0250662
761.5595283,98.53337252,96.64487748,21.79948737
762.6185753,97.06112636,95.18000828,28.00489606
763.6774327,90.99354221,90.22816526,21.44102037
764.7361006,79.89329428,82.14406565,8.851558959
765.7945789,68.05879124,70.25227792,14.35001511
766.8528678,60.46694925,56.76032733,14.34479332
767.9109672,56.69892062,46.46746135,18.67198168
768.9688772,54.23476455,41.21101548,35.5959569
770.0265979,52.15864311,38.44061454,42.73003726
771.0841294,48.7043647,35.13091052,57.72076219
772.1414715,41.98122617,29.43706812,79.29252472
773.1986245,36.54513878,22.10208683,81.22225684
774.2555883,40.29945926,17.89054749,84.66997506
775.312363,52.21587226,20.44423808,107.7526307
776.3689486,63.32518432,27.00904028,121.8587141
777.4253452,69.32748885,32.127514,134.1980086
778.4815529,73.02107729,34.5151631,150.4112201
779.5375716,77.64714968,38.00273237,151.9878122
780.5934014,83.83502906,44.71505164,158.7637014
781.6490423,89.93141991,50.81573407,165.5936079
782.7044945,93.93585864,53.61221993,162.5279917
