Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2,HS_V4S3_AAB_C2_02_I3,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
637.4111923,3.871563291,76.29676373,6.950452097,-1.338676671,61.78236389
638.492545,-1.905258042,77.28904762,9.177746006,2.388133213,62.62223154
639.5737027,-4.937225363,90.13724307,14.54610232,8.107265011,63.3521391
640.6546656,-6.416151769,87.87069655,15.686193,9.355740502,60.43084455
641.7354335,1.379872413,88.84067748,13.20696868,14.10518765,54.60471735
642.8160067,5.241616535,86.17286519,15.37965282,20.43966225,50.59242282
643.8963851,-4.554602428,80.35076032,13.91944445,20.32099805,51.0409551
644.9765687,-6.853407961,81.57264046,16.43653554,21.08847122,54.38282663
646.0565577,0.728272232,79.62366428,19.63091188,27.24311946,57.82673213
647.136352,2.346633612,78.03227874,16.64581683,30.27267947,60.34334348
648.2159518,-1.405293973,71.83447692,13.70107622,27.38920338,62.51225076
649.295357,-3.77374993,71.25590396,13.17523575,22.22096942,64.72196159
650.3745677,-0.86782398,69.46742091,14.20807773,15.94721423,66.41494747
651.453584,1.982359727,67.19767864,13.6127957,10.32225482,66.30623182
652.5324059,3.45839036,63.67435331,14.17214959,7.453741485,63.51016037
653.6110335,9.427678769,47.82003067,15.43049793,4.911363558,59.62424824
654.6894667,13.43997093,39.79876946,14.32036169,1.133534349,57.98803498
655.7677057,13.26915537,36.02164743,6.572261599,-0.885065612,59.36133077
656.8457504,18.9784911,33.50937563,-3.260527542,-2.657469845,61.50342188
657.923601,30.03866741,31.04741861,-5.240862926,-4.659743142,64.34406017
659.0012575,36.7444156,25.30981716,-2.593853636,1.714516106,70.15311155
660.07872,39.04721092,21.01321862,5.553717966,12.64864158,76.88795618
661.1559884,40.30861747,16.69170289,13.14381503,11.87330735,78.33159561
662.2330628,43.46935758,14.86541589,12.68229514,4.191467877,73.02243864
663.3099433,51.75632858,7.687896163,11.91217192,4.766601785,66.31859988
664.3866299,55.31908478,8.98918584,12.48693115,7.353219604,62.1022669
665.4631227,52.56438253,12.54256853,12.15035138,4.539216054,58.78840856
666.5394216,55.39771351,3.986551006,10.59860636,5.535790332,54.72832202
667.6155269,57.94597066,4.905125635,10.07663446,11.13844157,51.58473076
668.6914384,52.37087394,5.939025813,9.077098869,12.92384824,50.59792894
669.7671563,46.54716886,3.773727492,10.70456666,13.84741255,49.20503668
670.8426806,43.76420773,4.238673056,11.64923635,16.2141987,43.18711456
671.9180114,38.37770574,1.3769898,5.659413541,12.0202476,31.74030907
672.9931486,28.3915504,-2.715935118,5.529852047,1.449086584,19.42182773
674.0680924,18.4660047,-3.311705428,7.154535928,-4.58899246,11.81175574
675.1428427,16.11706285,6.123431896,7.565242449,-2.024243775,10.27143087
676.2173997,17.63333116,8.914624994,10.82204996,3.525510457,12.67970033
677.2917633,12.12250808,12.01123258,10.89725125,7.29743244,17.42065966
678.3659337,6.182156342,22.86082873,9.273567172,9.420687264,24.37762708
679.4399109,6.949531839,27.03947811,8.269564361,13.12290858,33.10096255
680.5136948,8.040818357,35.63400045,2.930002526,20.76170567,41.05767917
681.5872856,9.668337719,41.01466741,-0.669246336,26.48212308,44.33637417
682.6606834,11.57745564,43.42185526,6.979831208,22.09794193,42.23891956
683.7338881,9.346446207,45.61970645,8.093791275,14.95033279,40.38980572
