Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2,HS_V4S3_AAB_C2_02_I3
811.1305021,26.20717863,76.07705427,61.00677015
812.1806862,26.16292503,80.4035699,56.35680359
813.2306828,22.51304776,77.69153759,60.87733833
814.2804919,21.79652547,82.12663453,54.13089347
815.3301136,29.56313164,87.81542785,45.47118651
816.379548,41.10970192,98.85705568,52.54144693
817.428795,43.59545538,99.91614746,52.56824415
818.4778548,39.42372189,91.07534125,49.23992848
819.5267273,38.74015511,81.61118137,41.43376761
820.5754126,36.86576722,74.90287959,36.64746812
821.6239108,35.85705601,73.77863117,40.66801292
822.6722219,38.37527882,63.13473346,38.48631222
823.720346,33.73770055,51.60599445,40.76597004
824.768283,26.17536315,41.89060816,43.62740074
825.8160331,25.02631103,38.1492974,38.31630403
826.8635963,27.66201117,40.23479363,41.66512833
827.9109725,30.74457728,36.85364133,47.21467988
828.958162,30.89423159,39.67914707,44.04962478
830.0051647,29.19405487,38.99686751,39.9948377
831.0519806,27.4672646,35.35567178,34.98218705
832.0986098,26.54302925,35.42741845,35.89507718
833.1450524,32.04685088,36.6223602,39.01529851
834.1913083,39.1077551,39.46865382,33.34717688
835.2373777,37.29692304,34.21334562,27.78392696
836.2832606,31.11199894,30.13585845,21.67039031
837.328957,29.95555638,29.69504991,19.96442988
838.3744669,30.26228354,31.05771127,20.47211662
839.4197905,27.59034054,28.97488176,12.60869717
840.4649277,30.28708173,26.1439411,12.69738196
841.5098787,36.76282509,29.96162944,13.28677131
842.5546433,37.48801211,25.9339591,4.479542388
843.5992218,35.09680043,24.51234001,1.692158184
844.6436141,31.16906301,27.11469285,-0.247773775
845.6878203,25.5067339,26.33982857,0.198701014
846.7318404,20.60876597,27.44105444,0.589614091
847.7756744,15.54524253,26.80230137,-5.92341745
848.8193225,10.95910063,31.97030585,0.079224989
849.8627846,11.90622491,40.68835253,8.015170543
850.9060608,19.83037735,42.09206152,4.523138163
851.9491512,26.56139939,43.38037251,5.537108279
852.9920557,27.36484467,46.9644588,9.312931788
854.0347745,26.76444457,46.65838767,8.910885352
855.0773075,24.38664029,43.17726754,8.008993931
856.1196549,19.08959627,39.93624972,10.36042571
857.1618166,18.12423926,35.58212554,13.52426865
858.2037927,21.62808793,30.59245395,14.38115144
859.2455833,22.73248914,27.58293252,14.79746799
860.2871883,24.44840159,18.74205476,12.08420108
861.3286079,27.61517581,12.4932547,13.83134693
862.3698421,25.46819901,13.4389931,19.46731688
863.4108909,16.45080347,9.642017686,16.22982984
864.4517544,9.839971244,2.601095319,18.39316813
865.4924326,15.29071174,-2.240725457,20.51259317
866.5329255,21.35865887,-0.539937585,15.63308612
867.5732333,19.08409351,-0.429757152,17.94326447
868.6133559,16.40603047,3.995878644,21.26023443
869.6532933,13.86075702,11.82207729,24.83868063
870.6930457,11.34184989,11.88160618,24.80421499
871.7326131,10.56967228,13.61891913,18.02863996
