Wavelength,AAB_AS_S1_I17
1560.208028,89.93012974
1559.288477,94.63167248
1558.368769,99.59682335
1557.448904,92.68813124
1556.528881,87.26821273
1555.6087,86.40698013
1554.688362,77.27048835
1553.767866,73.54906781
1552.847212,79.61098354
1551.9264,80.10446443
1551.005431,74.55791459
1550.084304,65.87738606
1549.163019,62.37021969
1548.241577,66.92665853
1547.319976,64.95290687
1546.398218,58.92400836
1545.476301,51.94926553
1544.554227,34.7304358
1543.631994,20.85125472
1542.709604,20.58231658
1541.787055,22.71736858
1540.864348,26.1066428
1539.941483,29.54304557
1539.01846,26.21179231
1538.095278,22.14299684
1537.171938,22.11017719
1536.24844,22.99066557
1535.324784,27.45038726
1534.400969,35.38024309
1533.476996,38.9199464
1532.552864,39.0635262
1531.628574,38.42641518
1530.704125,34.23266236
1529.779517,31.48266605
1528.854751,30.63821418
1527.929827,29.02903224
1527.004744,29.55345194
1526.079502,27.94616559
1525.154101,23.23758932
1524.228541,19.45037501
1523.302823,15.98004529
1522.376946,13.27939614
1521.45091,13.65284863
1520.524715,18.24007199
1519.598361,21.58127471
1518.671848,17.14192731
1517.745176,10.09081522
1516.818345,12.00202672
1515.891354,19.26341011
1514.964205,19.02901205
1514.036897,18.22173448
1513.109429,24.46816939
1512.181802,29.50386961
1511.254016,30.61750201
1510.32607,28.9650083
1509.397965,26.69991115
1508.469701,27.51668936
1507.541278,28.61440437
1506.612694,29.5689659
1505.683952,31.89158476
1504.75505,29.32720634
1503.825988,22.97173309
1502.896767,21.60756046
1501.967386,20.78322365
1501.037845,15.04190703
1500.108145,12.09526348
1499.178285,18.25240341
1498.248265,24.26334202
1497.318085,14.67381645
1496.387746,2.117345268
1495.457246,9.704119556
1494.526587,22.24917774
1493.595768,24.92976066
1492.664788,31.30867133
1491.733649,39.97437066
1490.80235,44.17337252
1489.87089,51.07314111
1488.939271,55.86309594
1488.007491,55.13972885
1487.075551,61.24620214
1486.143451,72.0883932
1485.21119,78.50127176
1484.278769,82.00733546
1483.346188,80.59863736
1482.413447,76.72385678
1481.480545,75.51750767
1480.547482,74.03183585
1479.614259,70.12592091
1478.680876,64.85155018
1477.747332,61.96871773
1476.813627,55.50133006
1475.879762,41.53344494
