Wavelength,HS_V2S1_AAB_C4_S2_I2
452.9379229,9.504768486
454.0527091,13.76567192
455.1672921,17.83676272
456.2816721,21.89427336
457.3958491,27.3453073
458.5098232,34.92324239
459.6235944,42.59600878
460.7371628,48.18841396
461.8505284,51.97490792
462.9636912,54.1588765
464.0766514,52.96034376
465.1894089,47.65151415
466.3019639,41.11342197
467.4143163,37.25648172
468.5264662,37.00083692
469.6384136,38.13835024
470.7501587,37.78461972
471.8617014,33.9214258
472.9730419,27.31616455
474.0841801,22.23061017
475.1951161,21.15913887
476.30585,20.45887017
477.4163818,16.16290342
478.5267115,10.63619097
479.6368392,8.572529161
480.746765,10.11705807
481.8564889,11.85204419
482.966011,12.55816877
484.0753312,15.14606853
485.1844497,22.33595633
486.2933665,31.97598393
487.4020817,39.0618131
488.5105953,42.21390473
489.6189073,44.44585748
490.7270178,47.43370226
491.8349268,50.37350318
492.9426345,53.37487699
494.0501408,56.19148094
495.1574458,57.10819912
496.2645495,56.90598938
497.3714521,58.26995467
498.4781534,60.35268855
499.5846537,59.35677116
500.6909529,53.27069448
501.7970511,42.92199156
502.9029483,30.69166381
504.0086446,19.62872469
505.1141401,11.6081904
506.2194347,6.054686691
507.3245286,1.905051002
508.4294218,-0.225111282
509.5341143,1.186022314
510.6386062,5.916027029
511.7428975,9.67014472
512.8469882,6.555345343
513.9508786,-2.537539813
515.0545684,-7.63856605
516.158058,-1.930359073
517.2613472,8.688349554
518.3644361,15.05523128
519.4673248,16.40252814
520.5700133,17.65070945
521.6725016,23.06407388
522.7747899,33.29332853
523.8768782,43.17890345
524.9787665,46.27461865
526.0804548,44.05505713
527.1819433,45.10494504
528.2832319,53.8062348
529.3843207,65.11333822
530.4852098,72.33251025
531.5858992,74.43644445
532.6863889,73.34801011
533.7866791,69.72773629
534.8867697,63.89736315
535.9866608,57.04733292
537.0863525,49.38043478
538.1858447,39.20803039
539.2851376,27.17343384
540.3842312,19.13499491
541.4831256,18.95813015
542.5818207,21.88737126
543.6803167,22.06668398
544.7786136,20.47261092
545.8767114,19.07964862
546.9746102,16.03708154
548.07231,10.71083749
549.1698109,4.741494529
550.2671129,-1.303949956
551.3642162,-5.795236859
552.4611206,-5.776779812
553.5578263,-2.403642447
554.6543334,-0.242711975
555.7506418,-0.505046629
556.8467516,-0.87111773
557.942663,-1.466790953
559.0383758,-4.634282212
560.1338902,-8.914203302
561.2292062,-9.655622852
562.3243239,-4.938011161
563.4192432,3.465369192
564.5139644,12.31191249
565.6084873,18.46450896
566.7028121,22.05994609
567.7969388,28.23014108
568.8908675,42.34501752
569.9845981,62.66849598
571.0781308,80.06169745
572.1714656,87.44123079
573.2646026,87.60652414
574.3575417,87.96033778
575.4502831,90.36673933
576.5428267,91.63149234
577.6351727,89.77795575
578.7273211,83.80477712
579.8192719,73.24845794
580.9110251,62.13665783
582.0025809,55.40956232
583.0939393,50.38241633
584.1851003,40.61254464
