Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
1594.5741265537645,1mM,0.001,15140.221206159618,15140.221206159618,0.0
1598.4998132459127,1mM,0.001,13020.988641764994,13020.988641764994,0.0
1602.425499938061,1mM,0.001,10948.788301876331,10948.788301876331,0.0
1606.3511866302092,1mM,0.001,9459.630686199194,9459.630686199194,0.0
1610.2768733223577,1mM,0.001,8564.160103505628,8564.160103505628,0.0
1614.202560014506,1mM,0.001,7974.644670950942,7974.644670950942,0.0
1618.1282467066542,1mM,0.001,7728.258302717059,7728.258302717059,0.0
1622.0539333988024,1mM,0.001,7402.523062001606,7402.523062001606,0.0
1625.9796200909507,1mM,0.001,7040.824401096142,7040.824401096142,0.0
1629.905306783099,1mM,0.001,6665.507052975687,6665.507052975687,0.0
1633.8309934752474,1mM,0.001,6227.345485290527,6227.345485290527,0.0
1637.7566801673956,1mM,0.001,5878.328175917532,5878.328175917532,0.0
1641.682366859544,1mM,0.001,5456.492499824483,5456.492499824483,0.0
1645.6080535516921,1mM,0.001,5036.205390051925,5036.205390051925,0.0
1649.5337402438404,1mM,0.001,4560.274033545098,4560.274033545098,0.0
1653.4594269359889,1mM,0.001,4153.767973424246,4153.767973424246,0.0
1657.385113628137,1mM,0.001,3779.9078057418906,3779.9078057418906,0.0
1661.3108003202854,1mM,0.001,3470.9972221908583,3470.9972221908583,0.0
1665.2364870124336,1mM,0.001,3363.8833795338282,3363.8833795338282,0.0
1669.1621737045818,1mM,0.001,3252.6410055775755,3252.6410055775755,0.0
1673.08786039673,1mM,0.001,3170.3489860872664,3170.3489860872664,0.0
1677.0135470888786,1mM,0.001,3082.965255349451,3082.965255349451,0.0
1680.9392337810268,1mM,0.001,2933.3061815615856,2933.3061815615856,0.0
1684.864920473175,1mM,0.001,2765.3086006214144,2765.3086006214144,0.0
1688.7906071653233,1mM,0.001,2600.3861094213453,2600.3861094213453,0.0
1692.7162938574716,1mM,0.001,2508.1760266603847,2508.1760266603847,0.0
