#Wave,#Intensity
1587.98293522748,14995
1587.0679363324,14926
1586.15278096879,15202
1585.23746910194,15023
1584.32200069714,15266
1583.40637571967,15414
1582.4905941348,15158
1581.57465590777,15150
1580.65856100384,15205
1579.74230938823,15296
1578.82590102618,15272
1577.90933588288,15484
1576.99261392355,15336
1576.07573511337,15289
1575.15869941752,15277
1574.24150680117,15374
1573.32415722949,15414
1572.40665066761,15537
1571.48898708068,15406
1570.57116643381,15484
1569.65318869213,15278
1568.73505382074,15250
1567.81676178474,15487
1566.8983125492,15357
1565.97970607919,15696
1565.06094233979,15368
1564.14202129603,15276
1563.22294291297,15084
1562.30370715562,15149
1561.38431398901,15249
1560.46476337814,15468
1559.54505528801,15167
1558.62518968361,15278
1557.7051665299,15118
1556.78498579186,15086
1555.86464743444,15186
1554.94415142257,15187
1554.02349772119,15024
1553.10268629522,15181
1552.18171710957,15021
1551.26059012914,15093
1550.33930531881,15094
1549.41786264347,15256
1548.49626206798,15174
1547.57450355719,15101
1546.65258707595,15106
1545.73051258909,14829
1544.80828006143,15026
1543.8858894578,14982
1542.96334074298,15160
1542.04063388176,15212
1541.11776883894,15003
1540.19474557926,15040
1539.2715640675,15016
1538.34822426839,15122
1537.42472614668,14898
1536.50106966708,15186
1535.57725479432,14973
1534.65328149309,14905
1533.72914972808,15015
1532.80485946397,14799
1531.88041066545,14981
1530.95580329715,14875
1530.03103732374,14875
1529.10611270984,14739
1528.18102942009,14879
1527.2557874191,14819
1526.33038667147,14806
1525.40482714179,14990
1524.47910879465,14944
1523.55323159462,15088
1522.62719550626,14795
1521.70100049412,14907
1520.77464652273,14890
1519.84813355662,15159
1518.92146156031,14922
1517.99463049831,15052
1517.0676403351,14993
1516.14049103517,15062
1515.213182563,14737
1514.28571488303,15083
1513.35808795973,14832
1512.43030175753,15208
1511.50235624086,14924
1510.57425137414,14872
1509.64598712177,14828
1508.71756344814,14762
1507.78898031764,14879
1506.86023769465,14864
1505.93133554351,14939
1505.0022738286,14839
1504.07305251423,14740
1503.14367156475,14757
1502.21413094446,14893
1501.28443061768,14967
1500.3545705487,14895
1499.42455070181,14830
1498.49437104126,14860
1497.56403153134,14886
1496.63353213629,14860
1495.70287282034,14987
1494.77205354773,15067
1493.84107428267,14950
1492.90993498937,14789
1491.97863563203,14940
1491.04717617482,14979
1490.11555658193,14900
1489.1837768175,14922
1488.2518368457,14985
1487.31973663066,14885
1486.38747613652,14829
1485.45505532737,15061
1484.52247416734,15041
1483.58973262052,15144
1482.65683065099,15197
1481.72376822282,15143
1480.79054530007,15084
1479.8571618468,15099
1478.92361782704,15299
1477.98991320482,15332
1477.05604794416,15462
1476.12202200906,15446
1475.18783536351,15351
1474.2534879715,15202
1473.318979797,15298
1472.38431080397,15373
1471.44948095636,15546
1470.51449021811,15428
1469.57933855314,15292
1468.64402592536,15354
1467.70855229869,15435
1466.77291763701,15454
1465.83712190421,15494
1464.90116506416,15386
1463.96504708072,15243
1463.02876791773,15307
1462.09232753903,15421
1461.15572590844,15419
1460.21896298978,15512
1459.28203874686,15475
1458.34495314346,15707
1457.40770614336,15323
1456.47029771034,15552
1455.53272780815,15412
1454.59499640054,15575
1453.65710345124,15728
1452.71904892397,15400
1451.78083278245,15363
1450.84245499038,15337
1449.90391551146,15438
1448.96521430934,15650
1448.02635134771,15841
1447.08732659022,15769
1446.14814000051,15598
1445.20879154223,15613
1444.26928117898,15686
1443.32960887438,15716
1442.38977459202,15897
1441.44977829551,15920
1440.5096199484,16180
1439.56929951428,15802
1438.62881695668,15922
1437.68817223915,16035
1436.74736532523,16327
1435.80639617843,16212
