#Wave,#Intensity
1640.6240252772,27513
1639.71835139191,27977
1638.81252310076,28084
1637.90654036968,28215
1637.00040316461,28200
1636.09411145145,28128
1635.1876651961,27980
1634.28106436446,27863
1633.3743089224,28059
1632.46739883581,28066
1631.56033407053,28242
1630.65311459241,28037
1629.74574036731,27929
1628.83821136103,27966
1627.9305275394,27851
1627.02268886824,28406
1626.11469531333,28428
1625.20654684046,28370
1624.29824341541,28143
1623.38978500394,27661
1622.48117157181,28105
1621.57240308477,28127
1620.66347950853,28417
1619.75440080884,28366
1618.84516695139,28215
1617.9357779019,28028
1617.02623362605,28357
1616.11653408953,28027
1615.206679258,28674
1614.29666909713,28628
1613.38650357256,28517
1612.47618264994,28427
1611.56570629489,28271
1610.65507447302,28249
1609.74428714995,28582
1608.83334429126,28921
1607.92224586256,29101
1607.0109918294,29153
1606.09958215736,29254
1605.18801681199,29183
1604.27629575883,29742
1603.36441896342,30099
1602.45238639128,30064
1601.54019800791,30202
1600.62785377882,29869
1599.7153536695,29398
1598.80269764543,29640
1597.88988567207,29317
1596.97691771489,29740
1596.06379373933,29649
1595.15051371084,29390
1594.23707759482,29015
1593.3234853567,28978
1592.4097369619,28958
1591.49583237579,29219
1590.58177156376,29391
1589.66755449119,29300
1588.75318112343,28940
1587.83865142585,29188
1586.92396536377,29346
1586.00912290253,29495
1585.09412400745,29734
1584.17896864383,29814
1583.26365677699,29748
1582.34818837219,29433
1581.43256339472,29579
1580.51678180984,30005
