#Wavelength,#Intensity
2280.680219,24477
2279.362856,24610
2278.045237,24656
2276.727363,24479
2275.409232,24503
2274.090846,24705
2272.772204,24719
2271.453306,24340
2270.134151,24549
2268.814741,24562
2267.495074,24766
2266.175151,24894
2264.854971,24725
2263.534535,24646
2262.213843,24713
2260.892894,24759
2259.571688,24656
2258.250226,24547
2256.928507,24485
2255.606531,24447
2254.284298,24697
2252.961808,24706
2251.639061,24709
2250.316056,24753
2248.992795,24903
2247.669277,24581
2246.345501,24805
2245.021467,24626
2243.697177,24548
2242.372628,24535
2241.047823,24503
2239.722759,24597
2238.397438,24517
2237.071859,24796
2235.746022,24494
2234.419927,24667
2233.093574,24673
2231.766964,24595
2230.440095,24647
2229.112968,24716
2227.785582,24680
2226.457938,24694
2225.130036,24553
2223.801876,24606
2222.473457,24476
2221.144779,24610
2219.815843,24664
2218.486648,24713
2217.157194,24683
2215.827481,24508
2214.497509,24278
2213.167278,24321.73722
2211.836789,24365.48296
2210.50604,24409.23722
2209.175032,24453
2207.843764,24410
2206.512238,24461
2205.180452,24640
2203.848406,24661
2202.516101,24591
2201.183536,24538
2199.850712,24458
2198.517628,24582
2197.184284,24775
2195.85068,24422
2194.516816,24692
2193.182692,24555
2191.848308,24394
2190.513664,24687
2189.17876,24755
2187.843596,24372
2186.508171,24621
2185.172485,24484
2183.83654,24435
2182.500333,24436
2181.163866,24541
2179.827138,24571
2178.49015,24750
2177.152901,24700
2175.815391,24744
2174.477619,24289
2173.139587,24404
2171.801294,24677
2170.462739,24601
2169.123924,24652
2167.784847,24505
2166.445508,24386
2165.105909,24523
2163.766047,24496
2162.425924,24760
2161.08554,24792
2159.744893,24589
2158.403985,24621
2157.062815,24473
2155.721383,24390
2154.37969,24696
2153.037734,24510
2151.695516,24512
2150.353035,24538
2149.010293,24608
2147.667288,24533
2146.324021,24671
2144.980491,24513
2143.636699,24664
2142.292644,24566
2140.948326,24641
2139.603746,24495
2138.258903,24566
2136.913797,24595
2135.568428,24738
2134.222796,24582
2132.876901,24749
2131.530742,24454
2130.184321,24732
2128.837636,24822
2127.490688,24597
2126.143476,24540
2124.796001,24853
2123.448262,24407
2122.10026,24653
2120.751994,24713
2119.403464,24510
2118.05467,24664
2116.705613,24623
2115.356291,24390
2114.006705,24596
2112.656856,24469
2111.306742,24524
2109.956363,24520
2108.605721,24317
2107.254814,24525
2105.903642,24599
2104.552206,24417
2103.200505,24381
2101.84854,24311
2100.49631,24360
2099.143815,24357
2097.791055,24363
2096.43803,24214
2095.08474,24266
2093.731186,24520
2092.377365,24375
2091.02328,24449
2089.668929,24354
2088.314313,24103
2086.959432,24233
2085.604285,24351
2084.248872,24296
2082.893194,24046
2081.53725,24011
2080.18104,24186
2078.824564,24110
2077.467823,24241
2076.110815,24057
2074.753541,24191
2073.396001,24164
2072.038195,24228
2070.680123,24064
2069.321784,23856
2067.963179,24034
2066.604307,23855
2065.245169,23945
2063.885764,24180
2062.526092,24267
2061.166154,24011
2059.805948,24088
2058.445476,24060
2057.084737,24137
2055.723731,24144
2054.362457,24111
2053.000917,24010
2051.639109,24095
2050.277033,24110
2048.914691,24246
2047.552081,24190
2046.189203,24068
2044.826058,24163
2043.462644,23823
2042.098964,23967
2040.735015,23966
2039.370798,24184
2038.006314,24115
2036.641561,24032
2035.276541,24183
2033.911252,24032
2032.545694,24115
2031.179869,24221
2029.813775,24209
2028.447412,24206
2027.080781,24239
2025.713882,24132
2024.346714,24145
2022.979277,24194
2021.611571,24073
2020.243596,24218
2018.875352,24249
2017.506839,24291
2016.138057,24183
2014.769006,24319
2013.399686,24231
2012.030096,24221
2010.660237,24104
2009.290108,24315
2007.91971,24129
2006.549042,24184
2005.178105,24336
2003.806898,24347
2002.435421,24486
2001.063674,24369
1999.691657,24102
1998.31937,24237
1996.946813,24180
1995.573986,24112
1994.200888,24209
1992.82752,23975
1991.453882,24310
1990.079973,24000
1988.705794,24038
1987.331344,24449
1985.956623,24007
1984.581632,23982
1983.20637,24176
1981.830837,24207
1980.455033,24103
1979.078958,24045
1977.702611,23962
1976.325994,24084
1974.949105,24166
1973.571945,23848
1972.194514,23977
1970.816811,23625
1969.438836,23935
1968.06059,23938
1966.682072,23881
1965.303283,23833
1963.924221,23761
1962.544888,24168
1961.165283,23855
1959.785405,23735
1958.405256,23828
1957.024834,23754
1955.64414,23731
1954.263174,23551
1952.881935,23738
1951.500424,23924
1950.11864,23644
1948.736584,23870
1947.354255,23680
1945.971653,23888
1944.588778,23859
1943.20563,23648
1941.82221,23476
1940.438516,23648
1939.054549,23797
