lineage,file,source_sha256,manifest_intensity_selector,source_intensity_column,record_id,sample_type,spectrum_points,positive_frequency_max_index,filter_fft_peak_index,normalized_cutoff,percentile,order,lock_basis
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep1_acc3.csv,a827d3acac8526a62039077f569c11d3491c7b2acb9e187fe640971bb69e5552,1,Intensity,row00064__4ATP_10fM_rep1_acc3__Intensity,4atp,512,255,233,0.91372549019607852,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep1_acc4.csv,5bc6284c9593c9f812376333a0398138992674b5c76d54fccf509c37439758ae,1,Intensity,row00065__4ATP_10fM_rep1_acc4__Intensity,4atp,512,255,225,0.88235294117647056,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep1_acc5.csv,7bd6bc9ae62330265bdd8b74ebc90511253ee6dc0a9bdfb9c4e75cf9b31cf190,1,Intensity,row00066__4ATP_10fM_rep1_acc5__Intensity,4atp,512,255,207,0.81176470588235294,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep2_acc1.csv,064c5d9495ff27751847c900f631ee94b2c46d72134f498d4e1abef89578f6cb,1,Intensity,row00067__4ATP_10fM_rep2_acc1__Intensity,4atp,512,255,249,0.9764705882352942,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep2_acc2.csv,9acb1b2c2255444915a77d26ec2eb0634b748e65845ccc64995d8fccb83dc1a7,1,Intensity,row00068__4ATP_10fM_rep2_acc2__Intensity,4atp,512,255,244,0.95686274509803937,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep2_acc3.csv,65c123851acb6dcb7070640aa1394ada62a8b276604c6a5dfc30380eb4aea533,1,Intensity,row00069__4ATP_10fM_rep2_acc3__Intensity,4atp,512,255,165,0.6470588235294118,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep2_acc4.csv,640a4c16a839f663113d16b9530406be8aa34b5817021d9fc934304d787f8c6a,1,Intensity,row00070__4ATP_10fM_rep2_acc4__Intensity,4atp,512,255,201,0.78823529411764703,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep2_acc5.csv,5c5152bde81c5276c6f87dd58f2f5bf4a34e0d7c316df98767fe019a9e3678ef,1,Intensity,row00071__4ATP_10fM_rep2_acc5__Intensity,4atp,512,255,245,0.96078431372549022,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep3_acc1.csv,e592441593f5f055a9d1b46a4a8c32853d5e685a016733efa28fbde7a189aed0,1,Intensity,row00072__4ATP_10fM_rep3_acc1__Intensity,4atp,512,255,168,0.65882352941176481,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep3_acc2.csv,1e1145f3324a55c9e9f37aa689272920d0f725e226eac505faf99cf1bdd4a02e,1,Intensity,row00073__4ATP_10fM_rep3_acc2__Intensity,4atp,512,255,141,0.55294117647058827,10,3,canonical Windows release first committed at 542aa21
